,A5,AWS,Ag,Al,Applications,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Fe,HT_Temp,HT_Time,Hardness,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Other,Others,P,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,S,Si,Sn,Suitable_For,Ti,V,W,Zn,Zr,url
363,17.0,A-5.28: ER 90S-G,,,"GTAW wire for high temperature, creep resistant, modified 9%Cr1%Mo martensitic steel (T92/P92).  Alloy T92/P92 is widely used in the power generating industry for fossil fuel ultra-super-critical (USC) power plant boilers and turbines; the alloy is also finding applications in the chemical and oil and gas industries.",,,0.1,GMAW-GTAW Solid wires,,8.8,,,,,750.0,3.0,,0,PWHT,17.0,,,21952-A: G/W ZCrMoWVNb9 0.5 1.5,,0.45,0.42,,ER 90 S-G (P92),0.05,,0.5,,,,,"T92/P92 steel is commonly used at service temperatures up to 620°C. V, Nb and N additions provide this ‘creep strength enhanced ferritic’ (CSEF) alloy with improved high temperature creep resistance compared to standard CrMo creep resistant alloys.",0,,620.0,540.0,,0.4,,"For matching P92, 9%Cr1.7%W0.5%Mo, creep resisting martensitic steels. X10CrWMoVNb 9 2, ASTM: A182 grade F92, A213 grade T92, A335 grade P92, A387 grade 92",,0.2,1.6,,,http://www.ceweld.nl/en/product/er-90-s-g-p92
364,17.0,A-5.28	: ER 90S-G,,,"TIG/GTAW wire for high temperature, creep resistant, modified 9%Cr1%Mo martensitic steel (T92/P92).  Alloy T92/P92 is widely used in the power generating industry for fossil fuel ultra-super-critical (USC) power plant boilers and turbines; the alloy is also finding applications in the chemical and oil and gas industries.",,,0.1,GMAW-GTAW Solid wires,,8.8,,,,,750.0,3.0,,0,PWHT,17.0,,,21952-A:  WZCrMoWVNb 9 0.5 1.5,,0.45,0.42,,ER 90 S-G (P92) Tig,0.05,,0.5,,,,,"T92/P92 steel is commonly used at service temperatures up to 620°C. V, Nb and N additions provide this ‘creep strength enhanced ferritic’ (CSEF) alloy with improved high temperature creep resistance compared to standard CrMo creep resistant alloys.",0,,620.0,540.0,,0.4,,"For matching P92, 9%Cr1.7%W0.5%Mo, creep resisting martensitic steels. X10CrWMoVNb 9 2, ASTM: A182 grade F92, A213 grade T92, A335 grade P92, A387 grade 92",,0.2,1.6,,,http://www.ceweld.nl/en/product/er-90-s-g-p92-tig
365,17.0,A 5.28: ER 90S-B3,,,"MIG filler metal for high temperature creep resistant 2.25%Cr-1%Mo ferritic steel. These steels are used for creep resisting applications up to ~600°C. Typical applications in power generation plant include steam piping, turbines and boilers; the alloy also finds applications in the chemical and petro-chemical industries. ",,,0.09,GMAW-GTAW Solid wires,,2.5,0.35,,,,200.0,,,0,,100.0,47.0,,21952-B: G 62 M 2C1M,,0.55,1.1,,ER 90S-B3,,,0.2,,0.5,,0.025,"The filler metal has low levels of tramp elements (eg. Sn, As, Sb and P) providing a low Bruscato Factor.
(X<10 ppm)for temper embrittlement resistant applications.",0,,620.0,540.0,0.025,0.55,,"For matching 2.5%Cr1%Mo creep resisting ferritic steels. 10CrMo 9-10, G-17CrMo 9-10, ASTM: A182 F22, A199/A200 grades T21/T22, A213 T22, A217 WC9, A234 WP22, A335 P22, A387 grades 21/22",,,,,,http://www.ceweld.nl/en/product/er-90s-b3
366,17.0,A 5.28: ER 90S-B3,,,"TIG/GTAW filler metal for high temperature creep resistant 2.25%Cr1%Mo ferritic steel. These steels are used for creep resisting applications up to ~600°C. Typical applications in power generation plant include steam piping, turbines and boilers; the alloy also finds applications in the chemical and petro-chemical industries. ",,,0.09,GMAW-GTAW Solid wires,,2.5,0.35,,,,200.0,,,0,,100.0,47.0,,21952-B: W 62 2C1M,,0.55,1.1,,ER 90S-B3 Tig,,,0.2,,0.5,,0.025,"The filler metal has low levels of tramp elements (eg. Sn, As, Sb and P) providing a low Bruscato Factor.
(X<10 ppm)for temper embrittlement resistant applications.",0,,620.0,540.0,0.025,0.55,,"For matching 2.5%Cr1%Mo creep resisting ferritic steels. 10CrMo 9-10, G-17CrMo 9-10, ASTM: A182 F22, A199/A200 grades T21/T22, A213 T22, A217 WC9, A234 WP22, A335 P22, A387 grades 21/22",,,,,,http://www.ceweld.nl/en/product/er-90s-b3-tig
367,16.0,A-5.28: ER90S-B9,,0.02,"Designed for welding equivalent type 91~ 9% Cr Steels modified with small aditions of Niobium, Vanadium and Nitrogen to offer improved long term creep properties. This alloy 
is specialy intended for high integrity structural service at elevated temperature such as: Headers, main steam piping and turbine casings, gasification plants etc.
",,,0.1,GMAW-GTAW Solid wires,,9.0,0.1,8575: SG CrMoVNb91,1.4903,,750.0,3.0,265.0,3,SR/PWHT,17.0,,,21952-A: G CrMo 9 1,,0.8,1.0,,ER 90S-B9 (P91),,,0.6,,0.5,,0.008,Filler metal specifically intended for high integrity structural service at elevated temperature so the minor alloy additions responsible for its creep strenghth are kept above the minimum considered necessary to ensure satifactory performance.,0,,620.0,415.0,0.008,0.32,,"A 213 T91 (seamless tubes), A 335 P91 (seamless tubes), A 387 Gr91 (plates), A 182 / A336 F91 (forgings), X10CrMoVNb 91, 1503 Gr91, AFNOR NF A-49213/A-49219 Gr TU Z 10, CDVNb 09-01",,0.2,,,,http://www.ceweld.nl/en/product/er-90s-b9-p91
368,16.0,A-5.28: ER90S-B9,,0.02,"Designed for welding equivalent type 91~ 9% Cr Steels modified with small aditions of Niobium, Vanadium and Nitrogen to offer improved long term creep properties. This alloy 
is specialy intended for high integrity structural service at elevated temperature such as: Headers, main steam piping and turbine casings, gasification plants etc.
",,,0.1,GMAW-GTAW Solid wires,,9.0,0.1,8575: SG CrMoVNb91,1.4903,,750.0,3.0,265.0,3,SR/PWHT,17.0,,,21952-A: W CrMo91,,0.8,1.0,,ER 90S-B9 (P91) Tig,,,0.6,,0.5,,0.008,Filler metal specifically intended for high integrity structural service at elevated temperature so the minor alloy additions responsible for its creep strenghth are kept above the minimum considered necessary to ensure satifactory performance.,0,,620.0,520.0,0.008,0.32,,"A 213 T91 (seamless tubes), A 335 P91 (seamless tubes), A 387 Gr91 (plates), A 182 / A336 F91 (forgings), X10CrMoVNb 91, 1503 Gr91, AFNOR NF A-49213/A-49219 Gr TU Z 10, CDVNb 09-01",,0.2,,,,http://www.ceweld.nl/en/product/er-90s-b9-p91-tig
369,20.0,A 5.16: ER Ti 2,,,"ER Ti-2 is developed for welding Titanium grade 1, 2, 3 and 4. This alloy finds his applications in chemical industry and offers excellent Weldabillity. 
",,,0.08,GMAW-GTAW Solid wires,,,,1737: SG Ti 2,3.7036,0.25,0.0,,,0,AW,,,,"24034: S Ti 0120 (Ti 99,6)",,,,0.05,ER Ti-2 Tig,,,,,,,,The weld deposit is ductile and offers excellent corrosion resistance in oxidizing environments. The unique combination of mechanical strenght and corrosion resistance makes the alloy a prefered choice in many applications to prefend or solve problems. The wire is cleaned in a very special way to obtain porosity free and a ductile weld deposit. ,0,,467.5,275.0,,,,"Titanium grade 1, 2, 3 and 4.",0.62,,,,,http://www.ceweld.nl/en/product/er-ti-2-tig
370,,A 5.16: ER Ti 1,,,"ERTi-1. Grade 1 is the lowest strength unalloyed (or Commercially Pure—CP) grade. Grade 1 is used in applications where ductility is paramount, such as explosive cladding, loose linings, expanded metal, and deep drawing applications. It is also used in electrolytic applications like coated anode substrates for production of chlorine and sodium chlorate.",,,0.03,GMAW-GTAW Solid wires,,,,1737: SG Ti 1,,0.08,0.0,,,0,AW,,,,24034: STi-0100,,,,0.012,ERTi-1,,,,,,,,The weld deposit is ductile and offers excellent corrosion resistance in oxidizing environments. The purity and corrosion resistance makes the alloy a prefered choice in many applications to prefend or solve problems. The wire is cleaned in a very special way to obtain porosity free and a ductile weld deposits.,0,,320.0,250.0,,,,"ER Ti-1 is the purest grade and is suitable for welding Titanium grade 1, 2, 3 and 4. With the restriction that the mechanical properties are much less than Grade 2, 3 and 4. The weld deposit is ductile and offers excellent corrosion resistance in oxidizing environments. This alloy finds his applications in chemical industry and offers excellent Weldabillity.",,,,,,http://www.ceweld.nl/en/product/erti-1
371,,A 5.16: ER Ti 12,,0.30000000000000004,This alloy finds his applications in chemical industry and offers excellent Weldabillity. Often recomended for pressure vessels and piping for its superior strenght alone.,,,0.03,GMAW-GTAW Solid wires,,,,1737:,3.7105,0.15,0.0,,,0,AW,,,,24034: STi-3401,,,,0.015,ERTi-12,,,,,,,,"ER T12. Grade 12 (Ti 0.8Ni0.3Mo) is an intermediate strength grade originally developed to provide enhanced creviccorrosion resistance in high temperature brines, but at lower cost than Grade 7. The improved performance is believed to be the result of Ni++ and Mo++ ions that alter the surface electrochemistry of the material in the crevice or under a surface deposit. Grade 12 has better elevated temperature properties than Grade 2 or 3 and is sometimes specified for pressure vessels or piping for its superior strength alone.",0,,483.0,345.0,,,,"Titanium grade 12, Grade 7, Grade 2 and Grade 3",,0.75,,,,http://www.ceweld.nl/en/product/erti-12
372,20.0,A 5.16: ER Ti 2,,,"ER Ti-2 is developed for welding Titanium grade 1, 2, 3 and 4. This alloy finds his applications in chemical industry and offers excellent Weldabillity. 
",,,0.08,GMAW-GTAW Solid wires,,,,1737: SG Ti 2,3.7035,0.25,0.0,,,0,AW,,,,"24034: S Ti 0120 (Ti 99,6)",,,,0.05,ERTi-2,,,,,,,,,0,,467.5,275.0,,,,"Titanium grade 1, 2, 3 and 4.",0.62,,,,,http://www.ceweld.nl/en/product/erti-2-0
373,,A 5.16: ER Ti 5,,6.1,"Aerospace, marine, chemical plants, process plants, power generation, oil and gas extraction, medical and sports. 
",,,0.05,GMAW-GTAW Solid wires,,,,1737:,3.7165,0.22,0.0,,,0,,,,,24034: STi-6402c,,,,0.03,ERTi-5,,,,,,,,"Excelent weldability, and can be heat treated to a higher strength or toughness. Grade 5 is used in aircraft components such as landing gear, wing spars, and compressor blades. Its corrosion resistance is generally comparable to Grade 2 and it is often used in corrosion service where higher strength is required, particularly in shafts, high strength bolting, and keys. The weld deposit is ductile and offers excellent corrosion resistance in oxidizing environments. The unique combination of mechanical strenght and corrosion resistance makes the alloy a prefered choice in many applications to prefend or solve problems. The wire is cleaned in a very special way to obtain porosity free and a ductile weld deposit. 
 ",0,,810.0,8.0,,,,"Titanium grade 5, UNS R56400, AMS 4954",,4.0,,,,http://www.ceweld.nl/en/product/erti-5
374,20.0,A 5.16: ER Ti 7,,,Grade 7 has the same mechanical properties as Grade 2. The 0.12 wt% palladium addition improves corrosion performance under mildly reducing conditions or where crevice or under-deposit corrosion is a problem. ERTi-7 can be considered for welding Grade 2 or 16 where improved corrosion performance is desired.,,,0.03,GMAW-GTAW Solid wires,,,,1737:,3.7235,0.12,0.0,,,0,AW,,,,24034:STi-2401,,,,0.015,ERTi-7,,,,,,,,"The weld deposit is ductile and offers excellent corrosion resistance in oxidizing environments. The unique combination of mechanical strenght and corrosion resistance makes the alloy a prefered choice in many applications to prefend or solve problems. The wire is cleaned in a very special way to obtain porosity free and a ductile weld deposit. 
 ",0,,400.0,275.0,,,,"Titanium grade 7, Grade 2, Grade 16",,,,,,http://www.ceweld.nl/en/product/erti-7
375,,A 5.15: E NiFe-C1,,,"FeNi 60 N is suitable for welding grey and malleable cast iron, equally suitable for SG iron. Use this type in case a high tensile strength is required or because of his non conductive coating to weld in difficult welding positions where coating contact is unavoidable with the base metal. 
",,,,SMAW Stick Electrodes,,,,1736: E NiFe-1-BG 23,,43.0,0.0,,200.0,1,AW,,,,1071: E C NiFe-1,,53.0,,,FeNi 60 N,,,,,,,,"FeNi 60 N has a few benefits compare to other “FeNi” types because of improvements, such as: weldable with very low current, non conductive coating and a powerful arc at very low amps.
Preheating is normally done to slow down the cooling speed, in case you can not control the cooling speed it is better to keep the work peace at a low temperature during welding and hammer immediately after welding.",1,200.0,430.0,,,,,"Spheroidal cast iron, deluted cast iron, old cast iron, steel to cast iron etc. EN 1561: EN-GJL-100 (GG10) till EN-GJL-350 (GG35), EN 1562: EN-GJMB-350 (GTS 35) till EN-GJMB-550 (GTS 55), EN- GJMW-350 (GTW 35) till EN- GJMW-550 (GTW 55), EN1563: EN-GJS-400 (GGG 40) till EN-GJS-700 (GGG 70).",,,,,,http://www.ceweld.nl/en/product/feni-60-n
376,20.0,,,,"Drilling platforms, crane building, offshore fundamentals, jack ups, narrow gab welding, multi layer welding.",,,,SAW Arc Submerged,,,,,,,580.0,2.0,,0,PWHT,,,47.0,14174: SA FB 1 55 AC H5,,,,,FL 155,,,,,,,0.015,"Neutral high basic flux suitable for a weight range of wire combinations including multi layer welding in high demanding offshore applications because of its low hydrogen content. 


Basicity according to Boniszewski:Grain size according DIN EN 760:
~3.42 16


 ",2,1900.5,605.0,460.0,0.015,,,"S355, S420, S460, S690, P500, P550, X65, X70, X80,  Weldox 700, Naxtra 70, Hardox 400, Dilimax, P91, P24",,,,,,http://www.ceweld.nl/en/product/fl-155
377,21.0,5.17: F7AP8-EH12K,,,"Boiler works, vessel and structural steel works, tanks and pressure vessels, offshore lifting applications, platforms etc..",,,,SAW Arc Submerged,,,,BFB 155ACAC10MHVP5,,,0.0,,,0,,,47.0,,14174: SA FB 1 55 AC H5,,,,,FL 160,,,,,,,,"Agglomerated Basic flux suitable for carbon and low alloyed steel welding. The weld deposit produced in combination with corresponding suarc wires meets outstanding mechanical properties and in particular high toughness at extreme sub zero temperatures. Excellent slag removal in fillet and groove welds even in hot condition (In root passes slag release will improve by degreasing the voltage). Excellent bead aspect, even in fillet welds. .



Basicity:Current:Grain size:

About 3 (according to boniszewski)DC or AC, in single or multwiresAccording to EN 760: 20 specification 


 ",2,350.0,540.0,430.0,,,,"S355, S420, S460, X65, X70, X80",,,,,,http://www.ceweld.nl/en/product/fl-160
378,22.0,5.17: F6A2-EL12,,,"Light boiler works, beams, pipes, ship building, structural steel works, small tanks and gas cylinders etc.. 
",,,,SAW Arc Submerged,,,,BAR 188AC10KM,,,0.0,,,0,,40.0,27.0,,14174: SA AR 1 88 AC,,,,,FL 180,,,,,,,,"Excellent slag removal in fillet and root passes. It can be used in single or multwires at high speed with excellent bead aspect. Ceweld S4 wire in combination with this flux is suitable only for fillet welding in single pass. Excellent slag removal in fillet and groove welds..Basicity: About 0,4 (according to boniszewski) Current: DC or AC, in single or multwires up to 1200 Ampere per wire Grain size: According to EN 760: 20 specification 
 ",2,350.0,580.0,400.0,,,,"Unalloyed steels:St 33 – St 52 Ship building: A, E, AH, EH, Boiler steels: HI-HIII, 17Mn4, 19Mn5, Pipe steels: St 37.0/4 – St 52.0/4, Fine-grain steels:StE 255 – StE 420",,,,,,http://www.ceweld.nl/en/product/fl-180
379,0.4,5.17: F7A4-EH14,,,"Boiler works, pipes, ship building, structural steel works, tanks and pressure vessels, offshore applications etc..",,,0.045,SAW Arc Submerged,,,0.3,BFB 165AC12MHP5,,,0.0,,,0,,0.3,,,14174: SA AB 1 67 AC H5,,0.8,,,FL 188,,,,,,,,"The weld deposit produced in combination with corresponding suarc wires meets outstanding mechanical properties and in particular high toughness at low temperature. The flux is suitable for single and multilayer welding of longitudinal and circumferential and fillet welds. It can be used for single, tandem, twin and multi wire welding systems. Excellent slag removal in narrow groove welds of thick wall sections.
 

Basicity ~1,7 (according to boniszewski)
Current: DC or AC, in single or multwires up to 1000 Ampere per wire
Grain size acc. EN ISO 14174: 2 16
",2,350.0,1.3,0.04,,0.3,,"Unalloyed steels: St 33 – St 52, Ship building: A, E, AH, EH , Boiler steels: HI-HIII, 17Mn4, 19Mn5, Pipe steels: St 37.0/4 – St 52.0/4, Fine-grain steels:StE 255 – StE 420, X70",,,,,,http://www.ceweld.nl/en/product/fl-188
380,1.7,,,,"Rebuilding and hardfacing parts that suffer from impact and wear as in Mining, Dredging etc.",,,,SAW Arc Submerged,,,,32522:B CS 3 97 CCrMo AC 8,,,0.0,,,0,,3.0,0.4,375.0,14174: S A CS 3 97 AC,,,,,FL 400,,,,,,,,"Aglomerated flux for submerged arc welding with excelent welding properties, this flux is adding several elements to the weldpool to obtaine a hardnes increase with ordinary unor low alloyed submerged arc wires. The alloying effect is for a great part depending on the parameters beijng used, optimum parameters are 600 Ampere with 32 Volt and 50 cm/min. travel speed.Suitable for single and multi layer welding.  


Basicity according to Boniszewski:
DIN EN 760
1.1


Grain size according:
EN 760
0.2 mm


Density
dm3
1.2 kg

",2,350.0,0.5,0.25,,,,"Piston rod ends, mining parts, excavator parts, rolling bars, pressure rolls, cement rollers, dredging parts, coupling parts, crushing hammers. etc..",,,,,,http://www.ceweld.nl/en/product/fl-400
381,,,,,,,,,SAW Arc Submerged,,,,,,,0.0,,,0,,,,,760: SA Z 2 DC,,,,,FL 801,,,,,,,,,1,,,,,,,"Ceweld FL 801 is designed for submerged arc strip cladding with all types of austenitic stainless strips: AISI 308L, 347, 316L, 309L and 309LNb
",,,,,,http://www.ceweld.nl/en/product/fl-801
382,,,,,,,,,SAW Arc Submerged,,,,,,,0.0,,,0,,,,,14174: SA AF 2 Cr DC,,,,,FL 805,,,,,,,,,1,,,,,,,"chromium compensated flux for submerged arc welding of stainless steel grades
",,,,,,http://www.ceweld.nl/en/product/fl-805
383,0.75,,,,"Sub arc flux suitable for a wide range off applications in offshore and general steelwork, cladding valves, shafts, tanks, steel mill rollers etc.",,,0.025,SAW Arc Submerged,,21.0,0.05,,,,0.0,,,0,,19.1,9.59,,14174: SA FB 1 65 AC H5,,1.6,,0.75,FL 8111,1.6,,10.0,,,,,"The grain size and the composition of this flux is chosen to offer best possible performance with stainless steel wires as listed below. FL 8111 contains silicate, carbonate, metal oxide, fluoride, iron alloy and pure Fe. Special chosen procedures as drying at low temperature, and sintering with high temperature making this flux unique. It adopts DC, reversed polarity and DC+. FL 8111 can be used with flux cored and solid wires by adapting parameters only and offers a steady electrical arc, excellent slaremoval, high welding speed with a smooth surface without residues crack of air holes..Basicity: 2.6 (according to boniszewski)Current: DCand DC+Grain size: 2.0.28mm (160 meshes).",2,325.0,1.6,0.05,,0.7,,"Submerged arc welding with stainless steel wires, AISI 410, 410NiMo, 308L, 316L, 2209 duplex, 347, 309L, 309LMo, 308H, super duplex, zeron 100, SAF 2507",,,,,,http://www.ceweld.nl/en/product/fl-8111
384,0.35,,,,"Designed for ES strip cladding in offshore, apparatus, vessel, boilers and chemical industry.",,,0.022,ESAW Electroslag,,19.91,,,,,0.0,,0.029,1,,1.89,17.32,9.35,14174: (E) SA FB 2 ,,2.05,0.031,,FL 830 ESHC,0.52,,10.62,,,,,"Ceweld®FL 830 ESHC can be used with a large variety of alloys. Due to a excellent arc stability this flux is suitable for long stick out welding and standard ES cladding in case high demands on arc stability is required. Dilution of the weld metal with this flux is the lowest available on the marked today combined with a flat transition line offering more process stability in terms of chemical analysis in the overall Wight of the strip. FL 830 ESHC can be used in a large variaty of travel speed ranging from 14 till 30 cm per minut due to a higher slag temperature during welding. 


Basicity index:Grain size:
~4,0 (acc. to Boniszewski)18 60 mesh


 ",2,325.0,0.028999999999999998,,,0.37,,"Electro slag (ESW) cladding with stainless steel strip, 308L, 309L, 316L, 2209 Duplex, 347, 309LNb, 309LMo.",,,,,,http://www.ceweld.nl/en/product/fl-830-eshc
385,1.45,,,,"Vessels, tanks, boilers, steam turbines, shafts, valves, cladding steel rollers with stainless steel and Nickel based alloys",,,0.03,SAW Arc Submerged,,19.25,22.5,,,1.45,0.0,,,0,,22.5,8.5,3.0,14174: SA AF 2 DC,,1.25,,0.55,FL 838,0.03,,9.5,,,,,"Excellent welding properties with stainless steel wires and nickel alloys with neutral action on weld metal chemistry. This basic flux is also preferred for use with niobium stabilized welding wires that usually creates problems by leaving slag residues on the weld seam..Basicity: About 2,0 (according to boniszewski)Current: DC+ by preference upto 900 Ampere (1 wire)Grain size: Acc. DIN EN 760: 16",2,300.0,0.55,0.03,,0.55,,"FL 838 can be used for a weight range of wire types such as: stainless steel, and nickel based wires ranging from :308L, 316L, 347, 317L, Duplex 2209, Super Duplex 2507 and 2594, 1.4410,  9% Nickel steels and practically all other simmilar grades.",,,,,,http://www.ceweld.nl/en/product/fl-838
386,30.0,,,,"Joining and cladding of:
– Nickel-base alloys using NiCr- and NiCrMo- wire electrodes acc. to AWS A5.14 / EN ISO 18274
– Welding dissimilar steels such as low alloy steel with Nickel base alloys.",,,0.04,SAW Arc Submerged,,21.25,,,,5.0,0.0,,,0,,70.0,60.0,32.0,14174: S A FB 2 DC,,0.5,9.0,,FL 839,3.25,,60.46,,,,,"High basic agglomerated welding flux specially designed for a weight range of nickel alloys. This extra high basic flux produces smooth flat weld beads if appropriate welding parameters are used. The surface of the weld seam is free from slag inclusions and residues and is finely rippled.The metallurgical behavior of the flux is neutral (neutral, very low Si picup and low Mn burout) without Cror other alloy compensation. Due to the use of prefused raw materials the flux is able to produce extreme low P and S values in the weld deposit which reduces the risk of hot cracking when welding sensitive Nbase alloys
 
Basicity: About 3.3 (according to boniszewski)Current: DC+ by preference upto 600 Ampere (1 wire)Grainsize Acc. DIN EN 760: 16",2,350.0,700.0,430.0,,0.5,,"Nickel based welding wires that are covered in AWS A 5.14 such as alloy 82, Inconel 600, 625, 601, 825, C276, alloy 59 etc.",,,,,,http://www.ceweld.nl/en/product/fl-839
387,24.0,,,,"Boiler works, spiral pipes, ship building, structural steel works, tanks and  pressure vessels, piston cladding, offshore applications etc..",,,,SAW Arc Submerged,,,,760: SA AB 167 AC H4,,,0.0,,,0,PWHT,120.0,60.0,,14174: SA AB 1 67 AC H4,,,,,FL 851,,,,,,,,"Agglomerated sembasic flux suitable for carbon alloy steel welding in single and multpass technique and in single or multwire applications. The weld deposit produced in combination with corresponding suarc wires meets outstanding mechanical properties and in particular high toughness at low temperature. Excellent slag removal in fillet and groove (semnarrow gap) welds even in hot conditions. (Pre heat 250°C) This flux is specially developed to achieve very low content of diffusible hydrogen (< 4ml/100 g weld deposit) 


Basicity:Current:Grain size:
1,7 (according to boniszewskiDC or AC, in single or multwires up to 1000 Ampere per wire2.0.28mm (160 meshes).


 ",2,325.0,510.0,420.0,,,,"High-temperature resistant 15 NiCuMoNb5 1.6368 SEW 028 Fine grain structural steels 20 MnMoNi4-5 1.6311 DIN E 17201 11 NiMoV 53 1.6341 SEW 028 17 MnMoV 6-4 1.5403 Fine grain structural steels StE 355 1.0562 EN 10028-3 StE 550 1.8924 EN 10137-2 steels to API-standard X 42, X80 API-STANDARD",,,,,,http://www.ceweld.nl/en/product/fl-851
388,4.22,,,,"Designed for ES strip cladding in offshore, apparatus, vessel, boilers and chemical industry.",,,,ESAW Electroslag,,21.74,,BF B 7 6544 DC+ 40 B-2,,0.36,0.0,,8.13,1,,0.56,20.46,63.15,14174: (E) SA FB 2 ,,0.11,8.63,,FL 860 ESHC,3.63,,64.87,,,,,"Ceweld®FL 860 ESHC can be used with a large variety of alloys. Due to a excellent arc stability this flux is suitable for long stick out welding and standard ES cladding in case high demands on arc stability is required. Dilution of the weld metal with this flux is the lowest available on the marked today combined with a flat transition line offering more process stability in terms of chemical analysis in the overall Wight of the strip. FL 860 ESHC can be used in a large variaty of travel speed ranging from 14 till 27 cm per minut due to a higher slag temperature during welding. 


Basicity index:Grain size:
~4,2 (acc. to Boniszewski)18 60 mesh

",2,325.0,14.0,700.0,,,,"Electro slag cladding with nickel based strip, Inconel 600, 625, 825, alloy 82 and 625, W.Nr: 2.4806, 2.4831, 2.4633, 2.4649,  Nicrofer 6025HT,  Alloy 602 CA.",,,,,,http://www.ceweld.nl/en/product/fl-860-eshc
389,1.6,,,,"Vessels, tanks, boilers, steam turbines, shafts, valves, cladding steel rollers with stainless steel and Nickel based alloys",,,0.03,SAW Arc Submerged,,19.5,,,,,0.0,,120.0,2,,19.5,10.0,,14174: SF CS 2 5742 DC ,,1.6,,1.0,FL 880,0.06,,10.0,,,,,Excellent welding properties with stainless steel wires and nickel alloys with neutral action on weld metal chemistry. This fused flux is also preferred for use with niobium stabilized welding wires that usually creates problems by leaving slag residues on the weld seam..Basicity: About 1.3 (according to boniszewski)Current: DC by preference upto 900 Ampere (1 wire)Grain size: Acc. DIN EN 760: 16,2,1325.5,1.0,0.06,,1.0,,"FL 880 can be used for a weight range of applications: black and white joints as steel to stainless steel, creep resistant steels, stainless and nickel based wires ranging from : AISI 410, 410 NiMo, 308L, 316L, 347, 309L, 309LNb, Duplex 2209, Alloy 625, Alloy C-276 and practically all other similar grades. Excellent results are also obtained by using FL 880 with S2 Mo, SA CrMo5, P91/92 and Stellite (Cobalt based) type of wires.Wire diameter for NiCrMo alloys should be limited till 2,0 mm.",,1.6,19.5,,,http://www.ceweld.nl/en/product/fl-880
390,,A 5.17: EM 12K,,,"Steel mill rollers, boiler works, pipes, ship building, structural steel works, tanks and pressure vessels, piston cladding, offshore applications etc",,,,SAW Arc Submerged,,,,32522: BFB 165DC,,,0.0,,,0,,,,,14174: SA FB 1 65 DC,,,,,FL 915,,,,,,,0.024,"Suitable for carbon (low alloy) and 13% Chromium alloy steel welding in single, multpass and multi wire applications (up to 5 wires) with very high welding speed. Recommended for weaving in cladding applications. The weld deposit produced in combination with corresponding suarc wires meets outstanding mechanical properties and in particular high toughness at low temperature. Excellent slag removal in fillet and groove welds even in extreme hot conditionsBasicity:         2,2 (according to boniszewski)Grain size:      2.0.28mm (160 meshes).",2,325.0,,,0.024,,,"Unalloyed steels: St 33 – St 52, Ship building: A, E, AH, EH, Boiler steels: HI-HIII, 17Mn4, 19Mn5, Pipe steels: St 37.0/4 – St 52.0/4, Fine-grain steels: StE 255 – StE 460 (S460)",,,,,,http://www.ceweld.nl/en/product/fl-915
391,32.0,,,,"Boiler works, pipes, ship building, structural steel works, tanks and pressure vessels, offshore applications etc..",,,,SAW Arc Submerged,,,,,,,0.0,,,0,,120.0,,,14174: SF CS 1 56 AC H5,,,,,FL CS155,,,,,,,,"Glassy melted lowmanganese flux. Suitable for directand alternating current welding at high current up to ca 900 Ampere per wire. The flux causes slight increase of manganese and silicon in the weld, not changing Mn/Si ratio, which ensures high toughness properties of the weld metal and enables to weld plates of unlimited thickness.
Basicity:            1,05 (according to boniszewski)Grain size:        0,32÷1,6 mmDensity:            1,4÷1,7 kg/dm3",2,200.0,500.0,420.0,,,,"Unalloyed steels: St 33 – St 52, Ship building: A, E, AH, EH , Boiler steels: HI-HIII, 17Mn4, 19Mn5, Pipe steels: St 37.0/4 – St 52.0/4, Fine-grain steels:StE 255 – StE 420, X70
 ",,,,,,http://www.ceweld.nl/en/product/fl-cs155
392,32.0,,,,"Boiler works, pipes, ship building, structural steel works, tanks and pressure vessels, offshore applications etc..",,,,SAW Arc Submerged,,,,,,,0.0,,,0,,120.0,,,14174: SF CS 1 65 AC H5,,,,,FL CS165,,,,,,,,"Glassy melted (fused) lowmanganese metallurgical neutral flux. Suitable for directand alternating current welding at high current up to 1000 Ampere per wire and 1400 Ampere for multiple wires. FL CS 165 ensures high toughness properties of the weld metal and is suitable to weld plates of unlimited thickness.
Basicity:            ~1,3 (according to boniszewski)Grain size:        0,32÷1,6 mmDensity:            1,4÷1,7 kg/dm3",2,200.0,500.0,420.0,,,,"Unalloyed steels: St 33 – St 52, Ship building: A, E, AH, EH , Boiler steels: HI-HIII, 17Mn4, 19Mn5, Pipe steels: St 37.0/4 – St 52.0/4, Fine-grain steels:StE 255 – StE 420, X70
 ",,,,,,http://www.ceweld.nl/en/product/fl-cs165
