,As,C,Charpy,Cr,Cu,Diffusible Hydrogen,Elongation,Lateral,Mn,Mn + Ni + Cr + Mo + V,Mo,N,Nb,Ni,Ni+Mn,P,P S,S,S Ni,SN,Si,Si P,Sn,Tensile,V,Yield,aws,conformances,ind,key features,requirements,typic_results,typical applications,category,name,url
503,,,27.0,0.30000000000000004,0.2,4.0,24.0,,1.0,,0.2,,,,,0.03,,,0.265,,0.8,,,620.0,0.1,580.0, E9018M H4R,"diameters-/-packaging
diameter-length-1
018-g-h4",842,"(cid:23)(cid:3)low-hydrogen,-vertical-up-capability-on-
x70-grade-pipe-
(cid:23)(cid:3)charpy-v-notch-impact-toughness-tested-
to-46°c-(-50°f)
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online",Requirements - AWS E9018M H4R,Typical Results(3)  - As-Welded,(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x70-grade-pipe,,,
504,,0.05,74.5,0.05,0.02,2.5,30.5,,1.35,,0.28,,,,,0.015,,,0.54,,0.51,,,662.5,0.01,580.0, E9018M H4R,"diameters-/-packaging
diameter-length-1
018-g-h4",843,"(cid:23)(cid:3)low-hydrogen,-vertical-up-capability-on-
x70-grade-pipe-
(cid:23)(cid:3)charpy-v-notch-impact-toughness-tested-
to-46°c-(-50°f)
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online",Requirements - AWS E9018M H4R,Typical Results(3)  - As-Welded,(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x70-grade-pipe,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jet-LH-Jet-LH78MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jet-LH-Jet-LH78MR(LincolnElectric)
505,0.005,0.075,27.0,6.0,0.005,,22.0,,0.7000000000000001,,0.15,,,,,0.012,,0.015,,,0.225,,0.01,430.0,,330.0, E6010,"aws-a5.5-e8018-b2-h4
%-bs-en-iso-3580-a-e-crmo1-b
bs-en-iso-3580-b-e-5516-1cm
bs-2493-1crmo-b-h
w-
din-8575-ecrmo-1-b-2-6
5-ppm)",845,"•-designed-for-prolonged-•-designed-for-welding-
elevated-temperatures-up-1.25%-chromium,-0.50%
to-550°c-(1022°f)-molybdenum-steels
•-refineries-where-corrosion-•-trace-elements-are-
resistance-to-sulphur-controlled-to-ensure-low
bearing-crude-oil-is-at-bruscato-(x-factor-15
250-450°c-(482-842°f)-and-wantanbe-
(j-factor-180-ppm)-fa
welding-positions----------
all",Requirements - AWS E6010,Typical Results(3) - As-Welded,"diameters-/-packaging
diameter-4.2-kg-(9.3-lb)-
easy-open-can",,,
506,,,56.0,,,,29.0,,,,,,,,,,,,,,,,,557.5,,460.0, E6010,,846,,Requirements - AWS E6010,Typical Results(3) - As-Welded,,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric)
507,,,27.0,0.30000000000000004,0.2,4.0,22.0,,1.0,,0.2,,,,,0.03,,,0.265,,0.8,,,490.0,0.1,415.0, E7010-P1,"diameters-/-packaging
diameter-length
mm-(in)-in-(mm)
018-g-h4r-•-low-alloy,-low-hydrogen,-pipe",848,"typical-applications
(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x80-grade-pipe",Requirements - AWS E7010-P1,Typical Results(3) - As-Welded,"conformances
aws-a5.5/a5.5m:-2006-e10018-g-h4r
asme-sfa-a5.5:-e10018-g-h4r
welding-positions
all,-except-vertical-down",,,
508,,0.15,27.0,0.30000000000000004,,,22.0,,1.6,,0.08,,,,,0.035,,0.035,,,0.75,,,490.0,1.75,415.0, E7010-P1,"diameters-/-packaging
buy-america",848,"•-exceeds-aws-toughness-requirements-at-50°f
•-extreme-bend-ability
•-60%-less-moisture-pickup-vs.-competition
•-clear-puddle-and-a-smooth-arc
•-meets-chemical-composition-recommendations-of-api-7
•-q2-lot®-certificate-showing-actual-deposit-chemistry-an
mechanical-properties-available-online",Requirements - AWS E7010-P1,Typical Results(3) - As-Welded,"•-power-generation-•-pressure-piping
•-petrochemical-•-fill-and-cap-pass-welding
to-x65-grade-pipe
•-pressure-vessels",,,
509,,0.04,70.5,0.045,0.04,2.5,26.0,,1.6099999999999999,,0.42,,,,,0.015,,,1.43,,0.455,,,580.0,0.015,485.0, E7010-P1,"diameters-/-packaging
diameter-length
mm-(in)-in-(mm)
018-g-h4r-•-low-alloy,-low-hydrogen,-pipe",849,"typical-applications
(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x80-grade-pipe",Requirements - AWS E7010-P1,Typical Results(3) - As-Welded,"conformances
aws-a5.5/a5.5m:-2006-e10018-g-h4r
asme-sfa-a5.5:-e10018-g-h4r
welding-positions
all,-except-vertical-down",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Millennium-MillenniumArc7018-1(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Millennium-MillenniumArc7018-1(LincolnElectric)
510,,0.12,27.0,0.2,,,19.0,,1.3,,0.5,,,1.0,,0.03,,,,,0.8,,,550.0,0.05,460.0, E8010-P1,nan,851,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",Requirements - AWS E8010-P1,Typical Results(3) - As-Welded,nan,,,
511,,0.05,99.0,0.05,,,25.5,,1.175,,0.02,,,0.04,,0.01,,,,,0.425,,,615.0,0.01,510.0, E8010-P1,nan,852,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",Requirements - AWS E8010-P1,Typical Results(3) - As-Welded,nan,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric)
512,,0.2,,0.30000000000000004,,,22.0,,1.2,,0.5,,,1.0,,0.30000000000000004,,0.03,,,0.6000000000000001,,,490.0,,390.0, E7010-A1,"typical-applications-------------
•-root-pass-welding-of-up-to-x80-grade-pipe
•-hot,-fill-and-cap-pass-welding-on-up-to-x70-
grade-pipe
welding-positions------------
all",87,"•-excellent-impact-properties-without-the-intentional-
addition-of-boron
•-high-productivity-in-vertical-down-and-out‐of‐position-
pipe-welding
•-deep-penetration
•-q2-lot®-control-and-tested-–-certificate-showing-
actual-deposit-chemistry-per-lot-available-online.
•-clean,-visible-weld-puddle
•-superior-puddle-control",Requirements - AWS E7010-A1,Typical Results(3)  - As-Welded,"conformances
aws-a5.5/a5.5m:-e8010‐p1,-e8010‐g
asme-sfa‐a5.5:-e8010‐p1,-e8010‐g
csa/cwb-w48-06:-e5510-p1,-e5510-g",hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Fleetweld-Fleetweld5P-Plus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Fleetweld-Fleetweld5P-Plus(LincolnElectric)
513,,0.12,27.0,0.2,,,19.0,,1.3,,0.5,,,1.0,,0.03,,,,,0.8,,,550.0,0.05,460.0,"
 E8010‐P1",nan,854,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t","Requirements
AWS E8010‐P1","Typical Results(3)
As-Welded",nan,,,
514,,0.05,99.0,0.05,,,25.5,,1.175,,0.02,,,0.04,,0.01,,,,,0.425,,,560.0,0.01,510.0,"
 E8010‐P1",nan,855,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t","Requirements
AWS E8010‐P1","Typical Results(3)
As-Welded",nan,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric)
515,,0.05,,0.05,,,19.0,,1.175,,0.02,,,0.04,,0.01,,,,,0.425,,,550.0,0.01,460.0, E8018-G H4,nan,858,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",Requirements - AWS E8018-G H4,Typical Results(3) - As-Welded,nan,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric)
516,,0.055,131.5,,,,28.0,,1.12,,,,,,,0.0125,,0.008,,,0.395,,,665.0,,585.0, E8018-G H4,"diameters-/-packaging
buy-america",859,"•-exceeds-aws-toughness-requirements-at-50°f
•-extreme-bend-ability
•-60%-less-moisture-pickup-vs.-competition
•-clear-puddle-and-a-smooth-arc
•-meets-chemical-composition-recommendations-of-api-7
•-q2-lot®-certificate-showing-actual-deposit-chemistry-an
mechanical-properties-available-online",Requirements - AWS E8018-G H4,Typical Results(3) - As-Welded,"•-power-generation-•-pressure-piping
•-petrochemical-•-fill-and-cap-pass-welding
to-x65-grade-pipe
•-pressure-vessels",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric)
517,,0.165,47.0,,,,19.0,,0.5750000000000001,,,,,,,0.0115,,,,,0.34,,,550.0,,460.0, E8018-B2,"typical-applications
•-small-ac-welders
•-sheet-metal
•-edge,-corner-and-butt-joints
•-welding-on-galvanized-and-specially-coated-steels",861,"•-ac-polarity-welding
•-performs-on-low-amperages-and-ocv
•-easy-to-strike-arc
welding-positions
all",Requirements - AWS E8018-B2,"Typical Performance
As-Welded","conformances
aws-a5.1/a5.1m:-e6011
asme-sfa-a5.1:-e6011
cwb/csa-w48-06:-e4311",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-B2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-B2MR(LincolnElectric)
518,,,,,,,,,,,,,,,,,,,,,,,,,,, E8018-B2,,862,,Requirements - AWS E8018-B2,"Typical Performance
As-Welded",,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-B2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-B2MR(LincolnElectric)
519,,,,,,,15.0,,,,,,,,,,,,,,,,,690.0,,600.0, E10018-G H4R,nan,864,"ck-electr
properties-and-tec
rode
chniques",Requirements - AWS E10018-G H4R,Typical Results(3)  - As-Welded,nan,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C1MR(LincolnElectric)
520,,,110.0,,,,23.0,,,,,,,,,,,,,,,,,782.5,,700.0, E10018-G H4R,,865,,Requirements - AWS E10018-G H4R,Typical Results(3)  - As-Welded,,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C1MR(LincolnElectric)
521,,0.13,27.0,0.03,,,19.0,,0.515,,0.03,,,0.03,,0.011,,0.0095,,,0.26,,,550.0,0.01,460.0," E8045-P2 H4R
PIPELINER LH-D80",diameters-/-packaging,867,"•-deep-arc-penetration
•-light-slag-with-mal-arc-interference
•-excellent-vertical-and-overhead-capability","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","•-steel-with-moderate-surface-contants
•-cross-country-and-in-plant-pipe-welding
•-square-edge-butt-welds
•-welding-on-galvanized-and-specially-coated-steels",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C3MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C3MR(LincolnElectric)
522,,,100.0,,,,28.5,,,,,,,,,,,,,,,,,585.0,,500.0," E8045-P2 H4R
PIPELINER LH-D80",,868,,"Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R",,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C3MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C3MR(LincolnElectric)
523,,0.055,,0.05,,1.5,22.0,,0.8250000000000001,,0.17,,,0.9500000000000001,,,,,,,0.34500000000000003,,,490.0,,390.0, E7010-A1,"diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-op
in-(mm)-in-(mm)-30-lb-(13.6-kg)-master
s-e8018-c3-h4r-•-low-alloy,-low-hydrogen",87,"typical-applications
(cid:23)(cid:3)shipbuilding-(cid:23)(cid:3)weathering-steels
(cid:23)(cid:3)piping-and-gas-(cid:23)(cid:3)cross-country-
storage-tanks-pipe-repair",Requirements - AWS E7010-A1,Typical Results(3)  - As-Welded,"conformances
aws-a5.5/a5.5m:-2006-e8018-c3-h4r
asme-sfa-a5.5:-e8018-c3-h4r
abs:-e8018-c3-h4r
cwb/csa-w48-06:-e5518-c3
en-iso-2560-b:-e5518-n2-a-u-h5",hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Fleetweld-Fleetweld5P-Plus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Fleetweld-Fleetweld5P-Plus(LincolnElectric)
524,,0.145,27.0,0.04,,,19.0,,0.625,,0.02,,,0.04,,0.011,,0.009000000000000001,,,0.21,,,550.0,0.01,460.0," E8045-P2 H4R
PIPELINER LH-D80","typical-applications
•-cross-country-and-in-plant-pipe-welding
•-steel-with-moderate-surface-contants
•-repair-welding",870,"•-high-operator-appeal-and-control
•-easy-slag-removal
•-standard-in-the-pipe-welding-industry
welding-positions
all","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","conformances
aws-a5.1/a5.1m:-e6010
asme-sfa-a5.1:-e6010
abs:-e6010
cwb/csa-w48-06:-e4310
tuv:-en-iso-2560-a:-e-42-3-c25",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018-B3MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018-B3MR(LincolnElectric)
525,,0.15,100.0,0.2,,8.0,28.5,,1.6,1.75,0.30000000000000004,,,,,0.035,,,0.1675,,0.9,,,585.0,0.08,500.0," E8045-P2 H4R
PIPELINER LH-D80","key-features
-
high-deposition-rates
-
premium-arc-performance
-
high-travel-speed
-
h8-diffusible-hydrogen-levels
-
capable-of-producing-weld-deposits-with-
impact-toughness-exceeding-84-j-(60-ft•lbf)-
at-40°c-(-40°f)
y)
welding-positions
flat-&-horizontal",871,"typical-applications
-
structural-storage-tanks
-
heavy-fabrication-bridge-fabrication
-
shipbuilding","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","conformances
aws-a5.1/a5.1m:-2004-e7028-h8
asme-sfa-a5.1:-e7028-h8
abs:-e7028,-3y-h10-(fillet-only
lloyd’s-register:-3ym-h10
dnv-grade:-3-yh10
cwb/csa-w48-06:-e4928-h8
aws-e7028-h8-•-mild-steel,-low-hydrogen",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018-B3MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018-B3MR(LincolnElectric)
526,,0.2,27.0,0.30000000000000004,,,19.0,,1.2,,,,,0.2,,,,,,,1.0,,,550.0,,460.0," E8045-P2 H4R
PIPELINER LH-D80","aws-a5.1/a5.1m:-e6013
asme-sfa-a5.1:-e6013
abs:-e6013
lloyd’s-register:-3m
dnv-grade:-1
gl:-1
bv-grade:-1
cwb/csa-w48-06:-e4313
en-iso-2560-b:-e4313-a
welding-positions
all",873,"•-operable-with-low-amperages-on-sheet-metal
•-excellent-bead-appearance
•-slag-control-accommodates-vertical-down-welding","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","•-sheet-metal
•-irregular-short-welds-that-change-positions
•-maintenance-or-repair-welding
•-for-use-with-small-ac-welders-with-low-ocv",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric)
527,,0.055,100.0,,,,28.5,,0.385,,,,,,,0.015,,,,,0.2,,,585.0,,500.0," E8045-P2 H4R
PIPELINER LH-D80","aws-a5.1/a5.1m:-e6013
asme-sfa-a5.1:-e6013
abs:-e6013
lloyd’s-register:-3m
dnv-grade:-1
gl:-1
bv-grade:-1
cwb/csa-w48-06:-e4313
en-iso-2560-b:-e4313-a
welding-positions
all",874,"•-operable-with-low-amperages-on-sheet-metal
•-excellent-bead-appearance
•-slag-control-accommodates-vertical-down-welding","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","•-sheet-metal
•-irregular-short-welds-that-change-positions
•-maintenance-or-repair-welding
•-for-use-with-small-ac-welders-with-low-ocv",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric)
528,,0.15,27.0,0.30000000000000004,,,22.0,,1.6,,0.08,,,,,0.035,,0.035,,,0.75,,,430.0,1.75,330.0, E6011,"aws-a5.1:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018,-3y
lloyd’s-register:-3ym-h5
dnv-grade:-3-y40h5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06:-e4918-1
mil-e-22200/1:-mil-7018",876,•-smooth-arc-performance,Requirements - AWS E6011,Typical Results(3) - As-Welded,"•-general-fabrication
welding-positions
all,-except-vertical-down",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric)
529,,0.06,53.5,,,,27.0,,1.06,,,,,,,0.015,,0.02,,,0.41500000000000004,,,580.0,,475.0, E6011,"aws-a5.1:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018,-3y
lloyd’s-register:-3ym-h5
dnv-grade:-3-y40h5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06:-e4918-1
mil-e-22200/1:-mil-7018",877,•-smooth-arc-performance,Requirements - AWS E6011,Typical Results(3) - As-Welded,"•-general-fabrication
welding-positions
all,-except-vertical-down",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric)
530,,,27.0,,,,22.0,,,,,,,,,,,,,,,,,430.0,,330.0, E6010,,880,,Requirements - AWS E6010,Typical Results(3) - As-Welded,,murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric)
531,,,54.5,,,,28.0,,,,,,,,,,,,,,,,,542.5,,447.5, E6010,,881,,Requirements - AWS E6010,Typical Results(3) - As-Welded,,,,
532,,0.08,27.0,,,,22.0,,0.46,,,,,,,0.015,,,,,0.365,,,430.0,,330.0, E6010,"aws-a5.1/a5.1m:-e7014
asme-sfa-a5.1:-e7014
abs:-e7014
lloyd’s-register:-1m
dnv-grade:-1
gl:-1
bv-grade:-1
cwb:-e4914
welding-positions
all",883,"•-high-deposition-rates
•-excellent-operator-appeal
•-easy-to-use
•-operates-on-low-amperages",Requirements - AWS E6010,Typical Results(3) - As-Welded,"•-maintenance-and-repair-welding
•-sheet-metal-and-fillet-welds
•-heavy-sections",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric)
533,,,72.0,,,,25.5,,,,,,,,,,,,,,,,,555.0,,457.5, E6010,,884,,Requirements - AWS E6010,Typical Results(3) - As-Welded,,,,
534,,0.145,39.0,0.035,,,27.5,,0.765,,0.17500000000000002,,,0.865,,0.015,,0.015,,,0.17,,,560.0,,475.0, E7010-A1,"typical-applications-------------
•-root-pass-welding-of-up-to-x80-grade-pipe
•-hot,-fill-and-cap-pass-welding-on-up-to-x70-
grade-pipe
welding-positions------------
all",88,"•-excellent-impact-properties-without-the-intentional-
addition-of-boron
•-high-productivity-in-vertical-down-and-out‐of‐position-
pipe-welding
•-deep-penetration
•-q2-lot®-control-and-tested-–-certificate-showing-
actual-deposit-chemistry-per-lot-available-online.
•-clean,-visible-weld-puddle
•-superior-puddle-control",Requirements - AWS E7010-A1,Typical Results(3)  - As-Welded,"conformances
aws-a5.5/a5.5m:-e8010‐p1,-e8010‐g
asme-sfa‐a5.5:-e8010‐p1,-e8010‐g
csa/cwb-w48-06:-e5510-p1,-e5510-g",hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Fleetweld-Fleetweld5P-Plus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Fleetweld-Fleetweld5P-Plus(LincolnElectric)
535,,,,,,,17.0,,,,,,,,,,,,,,,,,430.0,,330.0, E6013,,887,,Requirements - AWS E6013,Typical Results(3) - As-Welded,,,,
536,,0.12,56.5,,,,23.0,,0.6000000000000001,,0.525,,,,,0.03,,0.03,,,0.4,,,487.5,,420.0, E6013,"aws-a5.5/a5.5m:-2006-e7010-a1
asme-sfa-a5.5:-e7010-a1
abs:-e7010-a1
cwb/csa-w48-06:-e4910-a1
tuv:-din-en-iso-2560-a:e
mil-e-22200/7:-mil-7010-a1
welding-positions
all",888,"(cid:23)(cid:3)for-welding-0.50%-molybdenum-steel
(cid:23)(cid:3)light-slag-for-mal-arc-interference
(cid:23)(cid:3)deep-penetration-and-superior-puddle-control
(cid:23)(cid:3)clean,-visible-weld-puddle
(cid:23)(cid:3)capable-of-480-mpa-(70-ksi)-tensile-strength-
weld-deposits",Requirements - AWS E6013,Typical Results(3) - As-Welded,"(cid:23)(cid:3)api-5l-x42-through-x56-grade-pipe-
(cid:23)(cid:3)cross-country-and-in-plant-pipe",murex,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner16P(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner16P(LincolnElectric)
537,,,27.0,,,,22.0,,,,,,,,,,,,,,,,,490.0,,400.0, E7018 H4R,,890,,Requirements - AWS E7018 H4R,Typical Results(3) - As-Welded,,,,
