,Item Brand,Item Name,Item Type,Special Category,"C(Min,Max)%",CVN Impact,CVN Temp C,"Cr(Min,Max)%",Elong %,Fillet Weld Test,Hydrogen Ml/100gm,"Mn(Min,Max)%",Mn+Cr+Ni+Mo+V,"Mo(Min,Max)%",Moisture,"Ni(Min,Max)%","P (Min,Max)%",Radiography,"S (Min,Max)%","Si (Min,Max)%",Test Condition1,Test Condition2 - EN,"UTS(Kg/mm2)(Min,Max%","V(Min ,Max%)",YS(Kgf/mm2),"Cb(Min,Max)%","Cu(Min, Max)",Test Cond as Per,CVN Impact - EN,CVN Temp C - EN,Special Prop.,"Fe(Min,Max)%","Nb(Min,Max)",Ti (Min Max%),UTS,CVN Avg.,"Al(Min, Max)%",PWHT,"Zr (Min, Max%)","N (Min,Max)%","Cb (Min,Max%)`",FG Batch,"Co(Min,Max)%","Nickel(Min,Max%)",Other Elements Total,"W(Min, Max) %",Physical Appearance,Elong % I,"Nb(Min,Max)%","PB(Min, Max)%",Hardness,Special Prop 1,Special Prop 2,Special Prop 3,W,Hardness ParmeterI,Special Prop 4,Special Prop 6,Special Prop 7,Special Prop 5,Special Prop 8,"Boron (Min,Max%)","NB+TA(Min,Max%)",Sn,Hardness Parmeter,BaCo3,"UTS(MPa)(Min,Max%)",YS MPa,Elong % - EN,PWHT - EN,"UTS(Kg/mm2)(Min,Max%-EN",YS(Kgf/mm2)-EN,"APP.DENSITY(MIN,MAX)",Cobalt,Flow Rate (Hall),Mesh Size(BS),As,Sb,Bend Test,"IR (Min,Max)%","Lead (Min,Max)",Ferrite (Fn),"TI(Min,Max%)"
1006,    Nimotherme-1(spl),NIMOTHERME-1(SPL)4.00 X 450,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.120",27 Joules,-40,"        0.000,        0.150","       24.000,        0.000",Satisfactory,,"        0.40,        1.25",,"        0.000,        0.350",,"        0.800,        1.100","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.800",,,"      550.000,        0.000","        0.000,        0.050","      470.000,      550.000",,,AWS/SFA-5.5 :E -8018 C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,    Nimotherme-1(spl),NIMOTHERME-1(SPL)4.00 X 450 (3.5Kg),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.120",27 Joules,-40,"        0.000,        0.150","       24.000,        0.000",Satisfactory,,"        0.40,        1.25",,"        0.000,        0.350",,"        0.800,        1.100","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.800",,,"      550.000,        0.000","        0.000,        0.050","      470.000,      550.000",,,AWS/SFA-5.5 :E -8018 C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,    Nimotherme-1(spl),NIMOTHERME-1(SPL)5.00 X 450,U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.120",27 Joules,-40,"        0.000,        0.150","       24.000,        0.000",Satisfactory,,"        0.40,        1.25",,"        0.000,        0.350",,"        0.800,        1.100","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.800",,,"      550.000,        0.000","        0.000,        0.050","      470.000,      550.000",,,AWS/SFA-5.5 :E -8018 C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,    NIMOTHERME-1L(MOD),NIMOTHERME-1L(MOD) 4.00 X 350(50),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.080", 27 Joule,-50,"        0.000,        0.150","       22.000,        0.000",  Satisfactory,5.0,"        0.400,        1.400",,"        0.000,        0.350","        0.000,        0.400","        0.800,        1.100","        0.000,        0.030",  Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      490.000,        0.000","        0.000,        0.050","      390.000,        0.000",,,   AWS/SFA-5.5:E 7018-C3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,    NIMOTHERME-1L(MOD),NIMOTHERME-1L(MOD)2.50 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.080", 27 Joule,-50,"        0.000,        0.150","       22.000,        0.000",  Satisfactory,5.0,"        0.400,        1.400",,"        0.000,        0.350","        0.000,        0.400","        0.800,        1.100","        0.000,        0.030",  Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      490.000,        0.000","        0.000,        0.050","      390.000,        0.000",,,   AWS/SFA-5.5:E 7018-C3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,    NIMOTHERME-1L(MOD),NIMOTHERME-1L(MOD)3.15 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.080", 27 Joule,-50,"        0.000,        0.150","       22.000,        0.000",  Satisfactory,5.0,"        0.400,        1.400",,"        0.000,        0.350","        0.000,        0.400","        0.800,        1.100","        0.000,        0.030",  Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      490.000,        0.000","        0.000,        0.050","      390.000,        0.000",,,   AWS/SFA-5.5:E 7018-C3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,    Nitherme -2.5,NITHERME-2.5 2.50 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.120",27 Joules,-60,,"       19.000,        0.000", Satisfactory,5.0,"        0.00,        1.25",,,"        0.000,        0.200","        2.000,        2.750","        0.000,        0.030",  Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      550.000,        0.000",,"      460.000,        0.000",,,AWS/SFA -5.5 : E 8016 -C1,,,,,,,,,, AS per code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,    Nitherme -2.5,NITHERME-2.5 3.15 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.120",27 Joules,-60,,"       19.000,        0.000", Satisfactory,,"        0.00,        1.25",,,,"        2.000,        2.750","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      550.000,        0.000",,"      460.000,        0.000",,,AWS/SFA -5.5 : E 8016 -C1,,,,,,,,,, AS per code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,    Nitherme -2.5,NITHERME-2.5 4.00 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.120",27 Joules,-60,,"       19.000,        0.000", Satisfactory,,"        0.00,        1.25",,,,"        2.000,        2.750","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.600",,,"      550.000,        0.000",,"      460.000,        0.000",,,AWS/SFA -5.5 : E 8016 -C1,,,,,,,,,, AS per code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,    Nitherme -3.5,NITHERME-3.5 4.00 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.120",,-75,,"       19.000,        0.000",      Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      520.000,        0.000",,"      390.000,        0.000",,,  AWS/SFA-5.5:E 8016 C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,    Nitherme -3.5(spl),NITHERME-3.5(SPL) 3.15 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.120",,-75,,"       25.000,        0.000",      Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030",,"        0.000,        0.030","        0.000,        0.500",,,"      520.000,        0.000",,"      390.000,        0.000",,, AWS/SFA-5.5 : E 8018 C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,    Nitherme -3.5(spl),NITHERME-3.5(SPL) 3.15 X 350(3KG),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.120",27 Joule,-75,,"       19.000,        0.000",      Satisfactory,5.0,"        0.00,        1.25",,,"        0.000,        0.400","        3.000,        3.750","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.800",,,"      550.000,        0.000",,"      460.000,        0.000",,, AWS/SFA-5.5 : E 8018 C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,    Nitherme -3.5(spl),NITHERME-3.5(SPL) 4.00 X 350(3KG),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.120",27 Joule,-75,,"       19.000,        0.000",      Satisfactory,5.0,"        0.00,        1.25",,,"        0.000,        0.400","        3.000,        3.750","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.800",,,"      550.000,        0.000",,"      460.000,        0.000",,, AWS/SFA-5.5 : E 8018 C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,    Nitherme -3.5-L,NITHERME-3.5L 4.00 X 350 (55),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.050",27 Joules,-100,,"       22.000,        0.000",Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      490.000,        0.000",,"      390.000,        0.000",,,AWS/SFA -5.5 : E 7016 - C2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,    Nitherme -3.5-L,NITHERME-3.5L 4.00 X 450 (55),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.050",27 Joules,-100,,"       22.000,        0.000",Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030", Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      490.000,        0.000",,"      390.000,        0.000",,,AWS/SFA -5.5 : E 7016 - C2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,    Nitherme- 3.5L(spl),NITHERME-3.5L(SPL) 4.00 X 350(2KG),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.050",,-100,,"       25.000,        0.000",      Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      520.000,        0.000",,"      390.000,        0.000",,,  AWS/SFA-5.5:E 7018C2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,    Nitherme- 3.5L(spl),NITHERME-3.5L(SPL)2.50 X 350 (2KG),U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.050",,-100,,"       25.000,        0.000",      Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      520.000,        0.000",,"      390.000,        0.000",,,  AWS/SFA-5.5:E 7018C2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,    Nitherme- 3.5L(spl),NITHERME-3.5L(SPL)3.15 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.050",,-100,,"       25.000,        0.000",      Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      520.000,        0.000",,"      390.000,        0.000",,,  AWS/SFA-5.5:E 7018C2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,    Nitherme- 3.5L(spl),NITHERME-3.5L(SPL)3.15 X 350 (2KG),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.050",,-100,,"       25.000,        0.000",      Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      520.000,        0.000",,"      390.000,        0.000",,,  AWS/SFA-5.5:E 7018C2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,    Nitherme- 3.5L(spl),NITHERME-3.5L(SPL)4.00 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.050",,-100,,"       25.000,        0.000",      Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      520.000,        0.000",,"      390.000,        0.000",,,  AWS/SFA-5.5:E 7018C2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,    Nitherme- 3.5L(spl),NITHERME-3.5L(SPL)5.00 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.050",,-100,,"       25.000,        0.000",      Satisfactory,,"        0.00,        1.25",,,,"        3.000,        3.750","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.500",,,"      520.000,        0.000",,"      390.000,        0.000",,,  AWS/SFA-5.5:E 7018C2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,    NITHERME-1.5(SPL),NITHERME-1.5(SPL)2.50 X 350(125),U1 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.100",27 Joules,-50,,"       19.000,        0.000", Satisfactory,,"        0.00,        1.25",,,,"        1.100,        2.000","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.800",,,"      550.000,        0.000",,"      460.000,        0.000",,,AWS/SFA -5.5 : E 8018 -C4,,,,,,,,,, AS per code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,    NITHERME-1.5(SPL),NITHERME-1.5(SPL)3.15 X 350(75),U1 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.100",27 Joules,-50,,"       19.000,        0.000", Satisfactory,,"        0.00,        1.25",,,,"        1.100,        2.000","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.800",,,"      550.000,        0.000",,"      460.000,        0.000",,,AWS/SFA -5.5 : E 8018 -C4,,,,,,,,,, AS per code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,    NITHERME-1.5(SPL),NITHERME-1.5(SPL)4.00 X 450(55),U1 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.100",27 Joules,-50,,"       19.000,        0.000", Satisfactory,,"        0.00,        1.25",,,,"        1.100,        2.000","        0.000,        0.030",Satisfactory,"        0.000,        0.030","        0.000,        0.800",,,"      550.000,        0.000",,"      460.000,        0.000",,,AWS/SFA -5.5 : E 8018 -C4,,,,,,,,,, AS per code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,    NITHERME-2.5 (SPL),NITHERME-2.5(SPL)3.15 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,,,-60,,, Satisfactory,,,,,,,,Satisfactory,,,,,,,,,,  AWS/SFA-5.5 : E 8018-C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,    NITHERME-2.5 (SPL),NITHERME-2.5(SPL)4.00 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,,,-60,,, Satisfactory,,,,,,,,Satisfactory,,,,,,,,,,  AWS/SFA-5.5 : E 8018-C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,    NITHERME-2.5 (SPL),NITHERME-2.5(SPL)5.00 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,,,-60,,, Satisfactory,,,,,,,,Satisfactory,,,,,,,,,,  AWS/SFA-5.5 : E 8018-C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,    NITHERME-2.5(MOD),NITHERME-2.5(MOD)3.15 X 450 (75),U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.100",50 Joule,-50,"        0.000,        0.150","       20.000,        0.000",        Satisfactory,3.0,"        0.600,        1.500",,"        0.000,        0.400",,"        2.500,        3.500","        0.000,        0.018", Satisfactory,"        0.000,        0.015","        0.000,        0.350",,,"      650.000,        0.000","        0.000,        0.030","      530.000,        0.000",,"        0.000,        0.500",AWS/SFA - 5.5: E10018G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,    NITHERME-2.5(MOD),NITHERME-2.5(MOD)4.00 X 450 (50),U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,,,-50,,,  Satisfactory,,,,,,,,  Satisfactory,,,,,,,,,,    AWS/SFA-5.5:E 10018 G (Nearest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,    Rapidex,RAPIDEX 4.00 X 450,U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.150",,,"        0.000,        0.200","       17.000,        0.000", Satisfactory,,"        0.00,        1.25",,"        0.000,        0.300",,"        0.000,        0.300","        0.000,        0.035", Satisfactory,"        0.000,        0.035","        0.000,        0.900",,,"      490.000,        0.000","        0.000,        0.080","      400.000,        0.000",,, AWS/SFA-5.1 : E 7014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,    Super-Cut,SUPER-CUT 3.15 X 350 (100),U3 - Electrodes - MS,  SPECIAL OTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTING ELECTRODE,TEST CERTIFICATE NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,    Super-Cut,SUPER-CUT 3.15 X 350 (3KG),U3 - Electrodes - MS,  SPECIAL OTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTING ELECTRODE,TEST CERTIFICATE NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,    Super-Cut,SUPER-CUT 3.15 X 450,U3 - Electrodes - MS,  SPECIAL OTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTING ELECTRODE,TEST CERTIFICATE NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,    Super-Cut,SUPER-CUT 4.00 X 350,U3 - Electrodes - MS,  SPECIAL OTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTING ELECTRODE,TEST CERTIFICATE NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,    Super-Cut,SUPER-CUT 4.00 X 350(4KGS),U3 - Electrodes - MS,  SPECIAL OTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTING ELECTRODE,TEST CERTIFICATE NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,    Super-Cut,SUPER-CUT 4.00 X 450,U3 - Electrodes - MS,  SPECIAL OTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTING ELECTRODE,TEST CERTIFICATE NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,    Super-Cut,SUPER-CUT 4.00 X 450 (4KG),U3 - Electrodes - MS,  SPECIAL OTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTING ELECTRODE,TEST CERTIFICATE NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,    Super-Cut,SUPER-CUT 5.00 X 450 (40),U3 - Electrodes - MS,  SPECIAL OTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTING ELECTRODE,TEST CERTIFICATE NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,    Super-Cut,SUPER-CUT 5.00 X 450 (4KG),U3 - Electrodes - MS,  SPECIAL OTHERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTING ELECTRODE,TEST CERTIFICATE NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,    SUPRATHERME(MOD),SUPRATHERME(MOD) 2.50 X 350,U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.150",27 Joules    (Min),-30,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.300","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      490.000,        0.000","        0.000,        0.080","      400.000,        0.000",,,AWS/SFA-5.1 : E 7018,,,,,,,,,,,,,,,,,,,,,,,  240 max,, HIC & SSCC test conforms to, TM-02-84 & TM-01-77 specifications,,, respectively .,,,& NACE - MR0175/ISO 15156,,,,,,,,,,,,,,,,,,,,,,,
1046,    SUPRATHERME(MOD),SUPRATHERME(MOD) 2.50 X 350 (2.5KG),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.150",27 Joules    (Min),-30,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.300","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      490.000,        0.000","        0.000,        0.080","      400.000,        0.000",,,AWS/SFA-5.1 : E 7018,,,,,,,,,,,,,,,,,,,,,,,  240 max,, HIC & SSCC test conforms to, TM-02-84 & TM-01-77 specifications,,, respectively .,,,& NACE - MR0175/ISO 15156,,,,,,,,,,,,,,,,,,,,,,,
1047,    SUPRATHERME(MOD),SUPRATHERME(MOD) 2.50 X 350 (2KG),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.150",27 Joules    (Min),-30,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.300","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      490.000,        0.000","        0.000,        0.080","      400.000,        0.000",,,AWS/SFA-5.1 : E 7018,,,,,,,,,,,,,,,,,,,,,,,  240 max,, HIC & SSCC test conforms to, TM-02-84 & TM-01-77 specifications,,, respectively .,,,& NACE - MR0175/ISO 15156,,,,,,,,,,,,,,,,,,,,,,,
1048,    SUPRATHERME(MOD),SUPRATHERME(MOD) 3.15 X 450,U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.150",27 Joules    (Min),-30,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.300","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      490.000,        0.000","        0.000,        0.080","      400.000,        0.000",,,AWS/SFA-5.1 : E 7018,,,,,,,,,,,,,,,,,,,,,,,  240 max,, HIC & SSCC test conforms to, TM-02-84 & TM-01-77 specifications,,, respectively .,,,& NACE - MR0175/ISO 15156,,,,,,,,,,,,,,,,,,,,,,,
1049,    SUPRATHERME(MOD),SUPRATHERME(MOD) 3.15 X 450 (2KG),U3 - Electrodes - MS,  SPECIAL OTHERS,"        0.000,        0.150",27 Joules    (Min),-30,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.300","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      490.000,        0.000","        0.000,        0.080","      400.000,        0.000",,,AWS/SFA-5.1 : E 7018,,,,,,,,,,,,,,,,,,,,,,,  240 max,, HIC & SSCC test conforms to, TM-02-84 & TM-01-77 specifications,,, respectively .,,,& NACE - MR0175/ISO 15156,,,,,,,,,,,,,,,,,,,,,,,
1050,    SUPRATHERME(MOD),SUPRATHERME(MOD) 3.15 X 450(3.5KG),U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.150",27 Joules    (Min),-30,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.300","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      490.000,        0.000","        0.000,        0.080","      400.000,        0.000",,,AWS/SFA-5.1 : E 7018,,,,,,,,,,,,,,,,,,,,,,,  240 max,, HIC & SSCC test conforms to, TM-02-84 & TM-01-77 specifications,,, respectively .,,,& NACE - MR0175/ISO 15156,,,,,,,,,,,,,,,,,,,,,,,
1051,    SUPRATHERME(MOD),SUPRATHERME(MOD) 4.00 X 450 (50),U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.150",27 Joules    (Min),-30,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.300","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      490.000,        0.000","        0.000,        0.080","      400.000,        0.000",,,AWS/SFA-5.1 : E 7018,,,,,,,,,,,,,,,,,,,,,,,  240 max,, HIC & SSCC test conforms to, TM-02-84 & TM-01-77 specifications,,, respectively .,,,& NACE - MR0175/ISO 15156,,,,,,,,,,,,,,,,,,,,,,,
1052,    SUPRATHERME(MOD),SUPRATHERME(MOD) 4.00 X 450(3.5KG),U1 and U3 - Electrodes - MS Common,  SPECIAL OTHERS,"        0.000,        0.150",27 Joules    (Min),-30,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.300","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750",,,"      490.000,        0.000","        0.000,        0.080","      400.000,        0.000",,,AWS/SFA-5.1 : E 7018,,,,,,,,,,,,,,,,,,,,,,,  240 max,, HIC & SSCC test conforms to, TM-02-84 & TM-01-77 specifications,,, respectively .,,,& NACE - MR0175/ISO 15156,,,,,,,,,,,,,,,,,,,,,,,
