,A5,AWS,Applications,Category,DIN,DIN_W,Hardness,Heat_Treated,IE-20,IE-40,IE-60,ISO,Name,Others,Properties,Redrying_Temp,Rm,Rp0,Suitable_For,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
269,,A 5.21: ERC CoCr-C,"Pump sleeves, expeller srews, plastic recycling, mixer blades for rubber, valves, seats etc.. 
",4.0,8555: MSG 20-GF-55-CTZ,,,AW,53.0,41.5,33.5,14700: Co3,DUR 1,,"Dur 1 deposits a cobalt-base alloy with an austenitic-ledeburitic structure. This is the hardest of the standard cobalt-base alloys. It has a high resistance to corrosion (especially to reducing acids and impact), extreme wear and temperature shocks. The alloy is only machinable by grinding. Best used on wear pads, rotary seal rings, pump sleeves and centerless grinder work rests.",150C/24hr,,,"Thermal shock resistant, abrasion, erosion, corrosion, cavitation at high temperature, bearing surfaces, chemical industry, hot shear blades, valves",,1.0,,1.0,2.5,32.0,,2.5,,,,,2.5,,,13.0,,,,45.5,,,,,,,
270,,A 5.21: ER CoCr-C,,2.0,8555: WSG 20-G0-55-CSTZ,,,,,,,14700: RC 03,DUR 1 TIG,,Outstanding hardfacing alloy against abrasion and corrosion combined with high temperatures.,,,,"Stellite 1 alloy for cladding, Pump sleeves, expeller srews, impellors, plastic recycling, mixer blades for rubber, valves, seats etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,A 5.21: ER C CoCr-B,"Steam-valves, high temperature liquid pumps, hot cutting tools, cutting tools for plastic, wood and paper as well as high stressed sealings and sliding surfaces.",4.0,8555: MSG 20-GF-50-CTZ,,,AW,50.0,46.0,40.0,14700: Co3,DUR 12,,"Outstanding alloy against abrasion, thermo-shock and corrosion combined with high temperatures. The weld deposit can be machined with tungsten tool tips and by grinding. The hardness of the weld deposit will degreas 20% at 600°C and has a nominal hardness of 49-53 HRc at room temperature. The weld deposit is high heat resistant up to 900°C. Dur 12 offers a low coefficient of friction of and exceptional resistance to galling. It has cavitation-erosion resistance ten times that of 304 stainless steel, Dur 12 can be used to protect bearing surfaces in non-lubricating conditions due to its resistance to metal-to-metal wear.",150ºC/24hr,,,"46-48 HRc, stellite 12 alloy with high temperature and abrasion resistance, thermo shock resistant and impact resistant, hardfacing valves, seats, pumps, knives, plastic recycling crushers etc.
 ",,,,1.2,1.75,29.0,,2.5,,,,,2.5,,,9.0,,,,54.05,,,,,,,
272,,,"Steam-valves, high temperature liquid pumps, hot cutting tools, cutting tools for plastic, wood and paper as well as high stressed sealings and sliding surfaces.",7.0,,,,AW,51.0,,41.0,,Dur 12 PTA Powder,,"Outstanding alloy against abrasion, thermo-shock and corrosion combined with high temperatures. The weld deposit can be machined with tungsten tool tips and by grinding. The hardness of the weld deposit will degreas 20% at 600°C and has a nominal hardness of 47-52 HRc at room temperature. The weld deposit is high heat resistant up to 900°C. Dur 12 offers a low coefficient of friction of and exceptional resistance to galling. It has cavitation-erosion resistance ten times that of 304 stainless steel, Dur 12 can be used to protect bearing surfaces in non-lubricating conditions due to its resistance to metal-to-metal wear.
 ",,,,"Dur 12 PTA Powder is typically used for cutting tools that need to withstand abrasion, heat and corrosion. Examples include industrial knives for cutting carpets, plastics, paper and synthetic fibres; and saw tips in the timber industry. It is also used for control plates in the beverage industry, pump vanes, bearing bushes and narrowneck glass mold plungers; and for hardfacing of engine valves, pinch rollers in the metal-processing industries, and rotor blade edges.",,,,1.5,1.4,29.0,,,,,,,2.0,,,8.0,,,,58.1,,,,,,,
273,,A 5.21: ER CoCr-B,"Steam-valves, high temperature liquid pumps, hot cutting tools, cutting tools for plastic, wood and paper as well as high stressed sealings and sliding surfaces.",2.0,8555: WSG 20-G0-50-CKTZ,,,,,,,14700: RZ Co3,DUR 12 TIG,,"Outstanding alloy against abrasion, thermo-shock and corrosion combined with high temperatures. The weld deposit can be machined with tungsten tool tips and by grinding. The hardness of the weld deposit will degreas 20% at 600°C and has a nominal hardness of 49-53 HRc at room temperature. The weld deposit is high heat resistant up to 900°C.Dur 12 offers a low coefficient of friction of and exceptional resistance to galling. It has cavitation-erosion resistance ten times that of 304 stainless steel, Dur 12 can be used to protect bearing surfaces in non-lubricating conditions due to its resistance to metal-to-metal wear. ",,,,"Stellite 12 alloy for hardfacing steam-valves, high temperature liquid pumps, hot cutting tools, cutting, tools for plastic, wood and paper as well as high stressed sealings and, sliding surfaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,A 5.13: R CoCr-B,"Steam-valves, high temperature liquid pumps, hot cutting tools, cutting tools for plastic, wood and paper as well as high stressed sealings and sliding surfaces. 
",3.0,8555: E20-UM-50-CSTZ,,,AW,50.0,46.0,40.0,14700: E Co3,Dur 12U,,"Outstanding alloy against abrasion, thermo-shock and corrosion combined with high temperatures. The weld deposit can be machined with tungsten tool tips and by grinding. The hardness of the weld deposit will degreas 20% at 600°C and has a nominal hardness of 49-53 HRc at room temperature. The weld deposit is high heat resistant up to 900°C. Dur 12 offers a low coefficient of friction of and exceptional resistance to galling. It has cavitation-erosion resistance ten times that of 304 stainless steel, Dur 12 can be used to protect bearing surfaces in non-lubricating conditions due to its resistance to metal-to-metal wear. ",300?2hr,,,"46-48 HRc, stellite 12 alloy with high temperature and abrasion resistance, thermo shock resistant and impact resistant, hardfacing valves, seats, pumps, knives, plastic recycling crushers etc.",,,,1.0,1.8,29.0,,2.5,,,,,2.5,,,8.8,,,,54.40000000000001,,,,,,,
275,,A 5.13:R CoCr-C,"Steam-valves, high temperature liquid  pumps, Hot cutting blades, exhaust valves.",3.0,8555: E 20-UM-55-CTZ,,,AW,55.0,42.0,34.0,14700: E Co3,Dur 1U,,"Outstanding properties against strong abrasion, erosion and corrosion in high temperature (900°C) environments. This electrode can also perfectly be used for applications which are subject to high friction. ",,,,"53-55 HRc, Stellite 1 alloy with high resistance to abrasion, oxidation and erosion, metal to metal friction and wear, heat resistant, high hardness at high temperatures, completely tempering resistant",,,,,2.3,32.0,,,,,,,,,,13.0,,,,52.7,,,,,,,
276,,A 5.21: ERC CoCr-C,"Solving wear problems against chemicals, erosion, corosion, high temperatures, abrasion and combinations of those.",4.0,8555: MF 20-GF-300-CTZ,,30 HRc,As welded,,,,14700: T Co1,DUR 21,,"Excellent gliding properties against metal to metal wear due to low friction, Excellent against erosion and corrosion at high working temperatures upto 900°C. Crack free hard facing deposit against severe shock and impact.",150?24hr,,,"Cladding seats and valves in chemical industry, hot sharing blades, extrusion parts, coke hammers, turbine injectors, gas and steam turbine parts.",,1.0,,1.25,0.27,28.0,5.0,2.75,,,,,3.5,,,,,,,58.23,,,,,,,
277,,A 5.21: ERCoCr-E,,2.0,8555: 20-G0-300-CKTZ,,,,,,,14700: RZ Co1,DUR 21 TIG,,,,,,"Stellite 21 alloy Forging tools, hot cutting and trimming tools, valve seats etc",,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2.8,A 5.13: R CoCr-E,,3.0,8555: E 20-UM-300-CKTZ,,,2.4,16.8,,,14700: E Co1,DUR 21U,,,,,350.0,Stellite 21 alloy for cladding seats and valves etc. low friction due to high cobalt content,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,36.5,A 5.21: no standard,"Dur 25 combines properties which make it suitable for a number of component applications in the aerospace industry, including parts in established military and commercial gas turbine engines. In modern engines, it has largely been replaced by newer materials such as 188 alloy, and, most recently, 230® alloy, which possess improved properties. Another area of significant usage for Dur 25 is as a bearing material, for both balls and races.",2.0,,,,RT (20°C),,,,14700: no standard,Dur 25 Tig,,"Dur 25 (UNS R30605) is a cobalt-nickel- chromium-tungsten alloy that combines excellent high-temperature strength with good resistance to oxidizing environments up to 1800°F (980°C) for prolonged exposures, and excellent resistance to sulfidation. It can be fabricated and formed by conventional techniques, and has been used for cast components. Other attractive features include excellent resistance to metal galling.",,925.0,499.0,Wear problems at high temperatures in case high strength is required.,,1.5,,0.4,0.1,20.0,1.0,10.0,,,,,3.0,,,15.0,,,,49.0,,,,,,,
280,,A 5.13: no standard,,3.0,8555: E 20-UM-300-CKTZ,,,,,,,14700: EZ Co1,Dur 25U,,"Dur 25U is a Cobalt based electrode developed to resist high impact load, high heat, thermal shock, hot corrosion, compression, abrasion, erosion and many other forms of attack. The weld deposit is machinable with carbide tools.",,,,"Valves in chemical and steam plants, gas turbine components, tong bits, share blades, hot forging and stamping tools, hot dies, aerospace industry, turbo charger buckets, hot liquid pumps etc.
",,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,"Hardfacing of forging presses, hot piercing dies, stretching rolls, pinch rolls, hot strip mill table rolls and back-up rolls",3.0,8555: E3-UM-50-CKRTZ,,,AW,47.5,55.0,,14700: ~E Fe3,Dur 49,,"Rutile Fe, Cr, Co and Mo based elektotrode with high hot wear resistance, tensile strenght and a high resistence against sliding wear of metallic objects.
It has a good retention of hardness up to 650°C and is non scaling up to 900° C thermo shock resistant and resistant to sudden changes of temperature.
Work hardening. Not crack sensible.The number of layers can be done as necessary. The deposit can beadditionally treated with cutting tools.",130?1hr,,,1.2311 40CrMnMo 71.2343 X38CrMoV 5 11.2344 X40CrMoV 5 11.2365 X32CrMoV 3 31.2367 X38CrMoV 5 31.2606 X37CrMoW 5 11.2713 55NiCrMoV 61.2714 56NiCrMoV 7,,0.6,,0.6,0.15,14.0,2.3,,,,,,69.35,,,,,,,13.0,,,,,,,
282,,A 5.13: E FeCr-A1,"Pomp bodies, mixer blades, agitator arms, concrete pumps",3.0,8555: E 10-UM-60-GR,,57,AW,,,,14700: E Fe14,Dur 55,,DUR 55 is a heavy coated high efficiency hardfacing electrode with 160 % recovery. Suitable for applications subject to strong abrasive wear by minerals,1hr/350℃,,,"54-62 HRc, hardfacing loaders, buckets, pumps, cement crushing equipment, screws, mixers blades etc., excelent abrasion resistance and high wear resistance",,1.0,,28.0,4.5,,,,,,,,,,,,,,,,,,,,,,
283,,A 5.21: ERC CoCr-A,,4.0,8555: MSG 20-GF-40-CTZ,,,AW,41.5,34.5,29.5,14700: T Co2-40-CKTZ,DUR 6,,"Outstanding alloy against abrasion, thermo-shock and corrosion combined with high  temperatures. The  weld deposit can be machined  with tungsten tool tips and by grinding. The hardness of the weld deposit will degrease 16% at 300°C and about 30% at 600°C. Excellent alloy against thermal shock, abrasion, erosion, corrosion and cavitation at high temperature.",150ºC/24hr,,,"Cladding valves, Steam-valves, high temperature liquid pumps, hot cutting tools, exhaust valves, seats, cutting knives, metal to metal wear, bearing surfaces, chemical industry, hot shear blades etc.",,0.6,,1.0,1.1,28.0,,,,,,,3.0,,,4.5,,,,61.8,,,,,,,
284,12.0,ASTM F75 - F1537,PTA and or laser overlay welding on wear parts that need to outlast new parts where high temperatures combined with corrosion and wear resistance is required. 3D printing of parts for medical applications as prostatic implants such as replacement hips and knee condyles.,7.0,,,35-42,SR: 1hr/750°C,,,1390.0,5823-12,Dur 6 Mo (Powder alloy F75),,CoCrMo alloys are non magnetic and offers extreem resistance against fatique. The alloy offers excelent polishing caracteristics and ensures long tool life.,,1100.0,850.0,"Replacement hips, knee parts, condyles, Gas turbine parts, fuel nozzles, orthopedic implants.",,1.0,,1.0,0.135,28.25,5.75,1.0,,0.01,,0.2,1.0,,0.1,0.2,,,,61.355,,,,,,,
285,4.0,,Overlay welding on wear parts that need to outlast new parts where high temperatures combined with corrosion and wear resistance is required. 3D printing of parts for medical applications according class IIa medical device in accordance with annex IX rule 8 of the MDD 93/42/EEC. Composition corresponds to “type 4” CoCr dental material according to EN ISO 22674.,7.0,,,420,SR: 1hr/750°C,,8.5,1432.5,22674,Dur 6 MoW,,"Dur 6 Mo is free of Ni, Be. and Cadmium according EN ISO 22674. The alloy offers extreme low friction properties combined with extreme corrosion resistance and excellent wear properties against scalling, abrasion and extreme pressure loads.",,1350.0,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,"Outstanding alloy against abrasion, thermo-shock and corrosion combined with high temperatures. Dur 6 PTA Powder is the most widely used of the wear resistant cobalt based alloys and exhibits good all-round performance. It is regarded as the industry standard for general-purpose wear resistance applications.",7.0,,,,AW,41.5,34.5,29.5,,Dur 6 PTA Powder,,"The  alloy deposit can be machined  with tungsten tool tips and by grinding. The hardness of the deposit will degrease 16% at 300°C and about 30% at 600°C. Excellent alloy against thermal shock, abrasion, erosion, corrosion and cavitation at high temperature and excellent resistance to many forms of mechanical and chemical degradation over a wide temperature range, and retains a reasonable level of hardness up to 500°C (930°F).",,,,"Examples include valve seats and gates; pump shafts and bearings, erosion shields and rolling couples. It is often used self-mated.",,,,1.2,1.1,28.0,,,,,,,2.0,,,5.0,,,,62.7,,,,,,,
287,5.0,A 5.21: ER CoCr-A,"Steam-valves, high temperature liquid pumps, hot cutting tools, exhaust valves. 
",2.0,8555: WSG 20-G0-40-CTZ,,,2.4,25.0,1000.0,,14700: RZ Co2,DUR 6 TIG,,"Outstanding alloy against abrasion, thermo-shock and corrosion combined with high temperatures. The weld deposit can be machined with tungsten tool tips and by grinding. The hardness of the weld deposit will degreas 16% at 300°C and about 30% at 600°C. The weld deposit is high heat resistant up to 900°C. Dur 6 offers a low coefficient of friction of 0.12 and exceptional resistance to galling. It has cavitation-erosion resistance ten times that of 304 stainless steel, Dur 6 can be used to protect bearing surfaces in non-lubricating conditions due to its resistance to metal-to-metal wear. ",,,1000.0,"Stellite 6 alloy for, Steam-valves, high temperature liquid pumps, hot cutting tools, exhaust valves and seats",,0.6,,1.0,1.1,28.0,,,,,,,,,,4.5,,,,64.8,,,,,,,
288,,A 5.13: E FeCr-A1,"57-61 HRc, for wear resistant hardfacing layers that are subject to high abrasion and medium impact.",3.0,8555: E10-UM-60-GRZ,,,AW,59.0,,,14700: E Fe14,Dur 60,,"Outstanding alloy against high abrasion when subjected to grinding and medium impact levels. Very good weld deposit appearance and outstanding welding properties on both AC and DC+.
•  Preheating is not required.",320?2h,,,"Slag crushers, Sugar cane knives, hammers, Mixer blades, Digger teeth, Guides, Coal mining, Cement mixers etc..",,,,,3.85,30.0,,,,,,,66.15,,,,,,,,,,,,,,
289,59.0,,"Suitable for deposits on mild steel, steel castings and manganese steel",3.0,8555: E6-UM-60 GP,,,AW,15.0,,,14700: E Fe6,Dur 600,,"The electrode has a soft but intensive welding character, a fine-structured seam surface and excellent slag-removal properties",350?1hr,,,"Rollers, dredger chains, conveyors, hammers, dredger equipment, mining and earth-moving equipment",,0.4,,1.7,0.6,9.0,,,,,,,,,,,,,,,,,,,,,
290,,A 5.13: E FeCr-A1,Extreme abrasion resistant hardfacing alloy offering excellent wear resistance with medium impact. To be used for applications where release cracks are needed for good bonding. ,3.0,8555: E 10-UM-65-Z,,,AW,61.5,,,14700: EZ Fe14,Dur 62 S,,"Outstanding alloy against high abrasion when subjected to grinding and medium impact levels. Very good weld deposit appearance and  outstanding welding properties on both AC and DC+ with a recovery of 200% for excellent deposit performance. (Preheating is not required)
Equivalent in FCAW: OA 59, OA 60 Mo, OA 61, OA 62",,,,"Slag crushers, Mixer blades, Digger teeth, Guides, Coal mining, buckets, pumps, screws, loaders, sand winning, cement industry, wear plates, loaders etc.",,,3.0,,4.5,32.0,,,,,,,60.5,,,,,,,,,,,,,,
291,,A 5.13: no standard,"This electrode with a recovery of 190% can be used for overlays with extremely abrasive and sliding wear resistance, but with low impact. For use till 450°C. ",3.0,8555: E 10-UM-65-GRZ,,,AW,58.5,60.5,63.0,14700: EZ Fe15,Dur 63 Nb,,Very economical due to the high deposition rate and excellent weldabillity without slag losses. For critical base material or old hard facing layers it is necessary to buffer with an electrode like DUR E 350 Kb / E 11018-G that delivers a welding deposit of less hardness. Overlays on steel with high carbon content should be buffered with Croni 29/9 HL or 4370 HL. For the best results 2 till 3 layers should be welded.,300-320?2h,,,"Sugar mill knives and hammers, cement mixers, clinker crushers, sintering lines, fire gratings, mixer blades, gravel washing equipment, ceramic mixer blades, extruders, crushing tables and rollers for lime stone etc.",,,,,5.75,24.0,,,,,,,64.25,6.0,,,,,,,,,,,,,
292,,A 5.13: E FeCr-E4,"This electrode with a recovery of 190% can be used for overlays with extremely abrasive and sliding wear resistance, but with middle impact.
",3.0,8555: E 10-UM-65-Z,,,AW,64.5,,42.5,14700: E Fe16,Dur 64,,"Due to the high Mo-content, abrasion resistance can be kept up to working temperatures of 600ºC ; the hardness is still 40-45 HRc at these temperatures. For hardfacing of more than 3 layers it is necessary to buffer with an electrode like DUR E 350 Kb that delivers a welding deposit of less hardness. Overlays on steel with high tensile strength have to be buffered with Croni 29/9 HL or 4370 HL.
Equivalent in FCAW: OA 64",,,,"Sugar mill knives and hammers, clinker crushers, sintering lines, fire gratings, mixer blades, gravel washing equipment, ceramic mixer blades, mill rollers, stone crushers, extruders etc….",,,,,5.0,23.5,6.0,,,,1.0,,,6.0,,2.0,,,,,,,,,,,
293,,AWS A 5.13/21: E FeCr-A1,,3.0,8555: E 10-UM-70-GTRZ,,,AW,69.0,,,14700: E Fe14,Dur 68 T,ca. 4,Thick coated electrode with high recovery 200%. Ledeburitic weld metal structure. Application is for parts that are exposed to strong abrasive wear. Operating temperature is from RT to 300°C.,130?1h,,,"Sugar mill knives and hammers, clinker crushers, sintering lines, fire gratings, mixer blades, gravel washing equipment, ceramic mixer blades, extruders etc….",,,,2.0,4.0,28.0,,,,,,,,,,,,,,,,,,,,,
294,,A 5.13: E CoCr-A,"43-45 HRc, stellite 6 alloy with outstanding properties against abrasion, thermo-shock and corrosion combined with high temperatures.",3.0,8555: E20-UM-40-CTZ,,,AW,41.5,34.5,29.5,14700: EZ Co2,Dur 6U,,Excelent welding properties and self detaching slag. The weld deposit can be machined with tungsten tool tips and by grinding. The hardness of the weld deposit will degreas 16% at 300°C and about 30% at 600°C. The weld deposit is high heat resistant up to 900°C. ,,,,"Steam-valves, high temperature liquid pumps, hot cutting tools, exhaust valves, pumps, plastic recycling etc.",,0.6,,,1.1,28.0,,,,,,,2.5,,,4.5,,,,63.3,,,,,,,
295,,A 5.13: no standard,"For extreme wear resistance, elements as Niobium and Chromium carbides are also added to obtain a complex carbide structure. Specially used for applications subject to abrasive wear such as sand or other minerals with little impact. Recommended for the brick and clay industry or extreme high temperature applications in power plant industries.",3.0,8555: E 21-UM-65-G,,66-70,AW,,,64.0,14700: EZ Fe20,Dur 71,,Ceweld Dur 71 is designed to offer full wear resistance and high hardness already achieved in the first layer. To be welded with low as possible current to avoid burnout of elements. ,,,,"For extreme heavy abrasion and wear applications such as, mixers and screws in the brick and clay industry, electricity powerplant srews (ash), mining, drilling etc",,,,,,,,,,,,,96.0,4.0,,,,,,,,,,,,,
296,,A 5.13: ~E FeCr-A7,"This electrode with his extreme recovery offers excellent wear resistance in high velocity, fine particle applications in which erosive wear is a major problem. Further to be used against high general wear and medium impact.        ",3.0,8555: E 10-UM-60-Z,,58-63,AW,,,,14700: E Fe14,Dur CE-Tube 62,,"Due to the Mo-content, abrasion resistance can be kept also with increased temperatures. For hardfacing of more than 3 layers it is recommended to buffer with an electrode like DUR E 350 Kb that delivers a welding deposit of less hardness. Overlays on steel with high tensile strength should be buffered with Croni 29/9 HL or 4370 HL.
1) up to 3 times faster ! (less current with more deposit)2) No slag losses compare to 40% loss with standard electrodes.!3) Low amperage offers much lower heat input ! (see point 1)4) 6 mm is ideal to weld in position and on sharp edges !5) Moisture resistant coating even in extreme humidity conditions !",,,,"Tubular hardfacing alloy for Sugar mill knives and hammers, clinker crushers, liner plates, ripper tines, mixer blades, gravel washing equipment, ceramic mixer blades, paddles, extruders.",,,,,4.0,25.0,2.0,,,,0.6,,,,,,,1.75,,,,,,,,,
297,,A 5.13: no standard,"This electrode offers a extreme recovery and can be used for overlays with extremely abrasive wear resistance, but with low impact. 3 layers should be considdered as maximum.",3.0,8555: E 21 – GF – 65 –GZ,,62-64,1 layer,,,,14700:,Dur CE-Tube WC2,,"Due to the complex carbide combination of Cobalt, Chromium, Aluminium, Zirconium and a extreme high Tungsten content the wear resistance against abrasion is 4 till 8 times better in comparison with C-Cr. alloys.Hard facing knowledge is based on practical experience and years of testing many different procedures and alloys. For your typical application we recommend to consult us for a tailor made welding procedure in order to achieve the best possible results for each job.1) up to 3 times faster ! (less current with more deposit)2) No slag losses compare to 40% loss with standard electrodes.!3) Low amperage offers much lower heat input ! (see point 1)4) 6 mm is ideal to weld in position and on sharp edges !5) Moisture resistant coating even in extreme humidity conditions !",,,,"Sinter plant parts, Swing hammers, Drilling surfaces, Stone crushers, Fan blades, Coke pusher shoes and crushers segments, Shovel, Cement mill parts, Earthmoving equipment, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,"The area to be hardfaced should be free of rust, scale, grease or other dirt. Slowly preheat the area to a maximum of 500°C (932°F). Sprinkle the surface with Ceweld Universal–Flux to prevent oxides from forming in the molten matrix during application.Once the area is properly heated,start brazing with L-CuNi10ZnF tinning rods (about 1 mm layer). Now apply DUR-CS. To make brazing easier dip the end in the brazing flux. NOTE: Do not overheat the hardfaced area. Particles can be pushed in correct position and dense configuration by using the end of the tinning Rod. Slow cooling is advised. Never cool area with water!",5.0,,,,,,,900.0,14700:,Dur CS,,"DUR– CS consists of sintered tungsten carbide fragments in a ductile nickel silver matrix. The alloy has a tensile strength of 100,000 psi. DUR–C S production methods ensure an overall tinning of the sintered tungsten carbide particles. DUR–CS composite rods are available in two grades: Wear resistant and for cutting applications.",,800.0,,"Downhole reamers, openers, fishing tools (spears), coring tools, reamers, milling tools, overshots, stabilizers, steel sawing, concrete drilling.",48.0,,,,,,,10.0,,,,,,,,,,,,,42.0,,,,,,
299,,A 5.13: E Fe1,"hardfacing, rebuilding, overlays, machine parts, wheels, buffer layers, rails, crossings etc.",3.0,8555: E1-UM-300P,,,AW,290.0,300.0,315.0,14700: E Fe1,Dur E 300 Kb,,"Outstanding alloy against high impact combined with abrasion including metal to metal friction. The weld deposit of Dur E 300 Kb is an exceptional easy to apply alloy without any risk for cracks and can also be applied on austenitic manganese steels, 300 HB is usualy already almost obtained in the first layer. The weld deposit is machinable with tungsten tool tips. Very good weld deposit appearance and outstanding welding properties on both AC and DC+. Preheating is not required.",300?2hr,,,"Rebuilding worn machine parts, rails, crossings, Stone crushers, Hammers, Gears, Cams, bearings, rope winches etc...",,1.25,,,0.125,2.75,,,,,,,95.875,,,,,,,,,,,,,,
300,,A 5.13: E Fe1,"Hardfacing and rebuilding machine parts that faces high impact and wear. The alloy is also excelent for buffer layers prior to hardfacing.
",3.0,8555: E1-UM-400P,,,AW,325.0,350.0,370.0,14700: E Fe1-400-p,Dur E 350 Kb,,Dur E 350 Kb is a hardfacing electrode against high impact combined with abrasion. This alloy has no risk for cracks and can also be applied on austenitic manganese steels. The weld deposit is good machinable. Very good weld deposit appearance and outstanding welding properties on both AC and DC+. Preheating is not required. Outstanding slag release.,300-320?2hr,,,"Rebuilding worn machine parts such as, rails, crossings, wheels, dredging parts, Stone crushers, Hammers, Gears, Cams, bearings, rope winches etc.",,1.0,,,0.15,3.0,,,,,,,95.85,,,,,,,,,,,,,,
301,,A 5.13: no class,"Hardfacing, rebuilding, overlays, machine parts, wheels, conveyors, crossings, bufferlayers prior to hardfacing etc",3.0,8555: E3-UM-40 PT,,,AW,36.0,39.0,42.0,14700: no class,DUR E 400 CrMo,,"Outstanding alloy against high impact combined with abrasion including metal to metal friction and increased working temperatures upto 550°C. Due to the high resistance to cracking and toughness, all weld metal requires no buffer layer except on materials considered critical. Suited for wear parts subject to heavy impact and shock. The weld metal is machinable with carbide tip tools, hardening is possible. The maximum hardness is dependent on the base metal and is often achieved in the first layer.",300-320?2hr,,,"Rebuilding worn machine parts, Stone crushers, Hammers, Gears, Cams, rails, crossings etc.",,0.6,,0.4,0.1,6.5,3.25,,,,,,,,,,,,,,,,,,,,
302,,A 5.13: E Fe1,"Hardfacing, rebuilding, overlays, machine parts, wheels, buffer layers, etc",3.0,8555: E1-UM-400 P,,,AW,350.0,375.0,400.0,14700: E Fe1,DUR E 400 KB,,Outstanding alloy against high impact combined with abrasion including metal to metal friction. The weld deposit of Dur E 400Kb is an exceptional easy to apply alloy without any risk for cracks and can also be applied on austenitic manganese steels. The weld deposit is machinable with tungsten tool tips. Very good weld deposit appearance and outstanding welding properties on both AC and DC+. Preheating is not required.,300-320?2hr,,,"Rebuilding worn machine parts, Stone crushers, Hammers, Gears, Cams etc.",,1.0,,,0.15,3.0,,,,,,,95.85,,,,,,,,,,,,,,
303,,A 5.13:E Fe3,"Hardfacing against high impact combined with strong abrasion wear.
",3.0,8555: E6-UM-60,1.4718,,AW,18.0,,,14700: E Fe8,Dur E 60 Kb,,Outstanding alloy against high impact combined with abrasion including metal into metal friction. The weld deposit of Ceweld Dur E 60 Kb is one of the most universal alloys in hardfacing applications and can also be appliedon austenitic manganese steels. Very good weld deposit appearance and outstanding welding properties on both AC and DC+. Preheating is not required.,300?2hr,,57.0,"Mixing arms, cold cutting tools, hammers, rolls, loaders, buckets, pumps, hardfacing on austenitic manganese steel, rebuilding knives",,0.6,,,0.65,8.5,0.75,,,,1.1,,88.4,,,,,,,,,,,,,,
304,,,"Hardfacing, rebuilding, overlays on machine parts and wear parts in mining, agriculture etc.",3.0,8555: E6–UM-60-GP,,57-61,AW,,,,EN 14700: E Z Fe8,DUR E 600 KB,,Dur E 600 Kb is a basic coated electrode with approximately 130% recovery that leaves a fine rippled seam surface with excellent impact and wear properties. The weld deposit shows a martensitic structure with good increased temperature properties and can resist oxidation upto 800°C. The deposit is heat treatable and offers excellent sliding and rolling properties.,400?1hr,,,"Rebuilding worn machine parts, Stone crushers, Hammers, Gears, Cams, metal scrap and car recycling hammers, cold cutting tools, slurry pumps etc.
 ",,,,,0.6,8.7,0.5,,,,1.4,,88.8,,,,,,,,,,,,,,
305,,A 5.13:E FeMn-A,"This electrode with a recovery of 140% can be used forjoining and overlay on manganese steels that are worn out and need to be rebuild. Heat input should be low.
 ",3.0,8555: E 7-UM-250-K,1.3402,220-450,AW,,,,14700: E Fe9,Dur Mn14,,There is no limit for the number of layers that can be applied in case of rebuilding but heat input should be kept low (as for Mn steel). The weld deposit is offers strain hardening properties from 250 till 450 HB,300?2hr,,,"austenitic manganese steel, high impact loads, hammers, crushers, rebuilding, hardfacing, rails, crossings, Breaker teeth, etc..",,13.0,,,0.8,,,3.0,,,,,83.2,,,,,,,,,,,,,,
306,,A 5.13: E FeMnCr,"Basic electrode for rebuilding and joining cold straining Mn steels or rebuilding parts that are subject to high impact and rolling wear. 

",3.0,8555: E 7-UM-250-K,,220-450,AW,,,,14700: E Fe9,Dur MnCr,,"There is no limit for the number of layers that can be applied in case of rebuilding but heat input should be kept low (as for Mn steel, interpass temperature should be kept <250°C).",300C/2hr,,,"rebuilding and joining cold straining Mn steels or rebuilding parts that are subject to high impact and rolling wear. Breaker teeth, crushers, hammers, crossings, rails.
 ",,17.0,,,0.55,14.0,,,,,,,68.45,,,,,,,,,,,,,,
307,,,"Mixer blades, cutters, hoppers, sand pumps, friction parts etc.",7.0,,,11-13,60% Rem.,,5.5,2.0,1274: 3.3,DUR NiCrBSi + WC12Co,,"Excelent wear resistance when corrosion, friction and high temperatures are combined. Good bonding strenght and low friction coefficient that makes the alloy excelent for gliding surfaces and metal to metal wear.",,,0.6,,,,,2.0,2.0,-53.19999999999999,,40.0,,,,,0.6,,,0.6,,9.0,,99.0,,,,,,,
308,,5.21: no class,,5.0,8555: G 21-GF-65,,,,,,,14700:,Dur R,,,,,,"Hardfacing drill points, augers, impellors, mixer blades, stone crushing equipment, deep drilling,",,,,,,,,,,,,,,,,,,,,,,,,,,,
