,C,Charpy,Cr,Cu,Diffusible Hydrogen,Elongation,Lateral,Mn,Mn + Ni + Cr + Mo + V,Mo,Ni,P,P S,S,S Ni,Si,Tensile,V,Yield,aws,conformances,ind,key features,requirements,typic_results,typical applications,Elongation_Temperature,Reduction of area,Reduction of area_Temperature,Ultimate tensile strength,Ultimate tensile strength_Temperature,Yield strength,Yield strength_Temperature,Acicular ferrite,Acicular ferrite_Temperature,Ferrite with carbide aggregate,Ferrite with carbide aggregate_Temperature,Ferrite with second phase,Ferrite with second phase_Temperature,Primary ferrite in microstructure,Primary ferrite in microstructure_Temperature,50% FATT,50% FATT_Temperature,Hardness,Hardness_Temperature,Manual metal arc_Current,Manual metal arc_Electrode,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Manual metal arc_Source,Manual metal arc_Voltage,Post weld heat treatment_Post weld heat treatment temperature,Post weld heat treatment_Post weld heat treatment time,Flux cored arc_Current,Flux cored arc_Electrode,Flux cored arc_Heat input,Flux cored arc_Interpass temperature,Flux cored arc_Source,Flux cored arc_Voltage,Submerged arc_Current,Submerged arc_Electrode,Submerged arc_Heat input,Submerged arc_Interpass temperature,Submerged arc_Source,Submerged arc_Voltage,extr,Fe,W,Co,A5,AWS,Ag,Al,Applications,B,Be,Category,DIN,DIN_W,HT_Temp,HT_Time,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,N,Name,Nb,Nb+Ta,Ni+Co,Other,Others,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,Sn,Suitable_For,Ti,Zn,Zr,url
1131,0.08800000000000001,,9.1,,,,,1.03,,1.01,,0.013,,0.006999999999999999,,0.17,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,0.08800000000000001,,9.1,,,,,1.03,,1.01,,0.013,,0.006999999999999999,,0.17,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,0.08800000000000001,,9.1,,,,,1.03,,1.01,,0.013,,0.006999999999999999,,0.17,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,0.091,,9.02,,,16.8,,1.04,,1.01,,0.013,,0.006999999999999999,,0.2,,0.24,,,,,,,,,Room temperature,59.8,Room temperature,778.0,Room temperature,642.0,Room temperature,,,,,,,,,,,,,180,+,1.0,175.0,DC,34,750,8,,,,,,,,,,,,,1.0,88.37899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,0.091,,9.02,,,,,1.04,,1.01,,0.013,,0.006999999999999999,,0.2,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.37899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,0.091,,9.02,,,,,1.04,,1.01,,0.013,,0.006999999999999999,,0.2,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.37899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,0.091,,9.02,,,,,1.04,,1.01,,0.013,,0.006999999999999999,,0.2,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.37899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,0.08900000000000001,,9.0,,,15.7,,1.05,,1.04,,0.013,,0.006999999999999999,,0.22,,0.23,,,,,,,,,Room temperature,60.2,Room temperature,777.0,Room temperature,643.0,Room temperature,,,,,,,,,,,,,180,+,1.0,175.0,DC,34,750,8,,,,,,,,,,,,,1.0,88.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,0.08900000000000001,,9.0,,,,,1.05,,1.04,,0.013,,0.006999999999999999,,0.22,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,0.08900000000000001,,9.0,,,,,1.05,,1.04,,0.013,,0.006999999999999999,,0.22,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,0.08900000000000001,,9.0,,,,,1.05,,1.04,,0.013,,0.006999999999999999,,0.22,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,0.094,,8.99,,,20.8,,1.0,,1.03,,0.012,,0.008,,0.17,,0.21,,,,,,,,,Room temperature,64.5,Room temperature,705.0,Room temperature,558.0,Room temperature,,,,,,,,,,,,,180,+,1.0,175.0,DC,34,750,8,,,,,,,,,,,,,1.0,88.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,0.094,,8.99,,,,,1.0,,1.03,,0.012,,0.008,,0.17,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,0.094,,8.99,,,,,1.0,,1.03,,0.012,,0.008,,0.17,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,0.094,,8.99,,,,,1.0,,1.03,,0.012,,0.008,,0.17,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,0.086,,8.9,,,17.4,,1.01,,1.01,,0.012,,0.006999999999999999,,0.2,,0.21,,,,,,,,,Room temperature,62.7,Room temperature,709.0,Room temperature,569.0,Room temperature,,,,,,,,,,,,,180,+,1.0,175.0,DC,34,750,8,,,,,,,,,,,,,1.0,88.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,0.086,,8.9,,,,,1.01,,1.01,,0.012,,0.006999999999999999,,0.2,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,0.086,,8.9,,,,,1.01,,1.01,,0.012,,0.006999999999999999,,0.2,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,0.086,,8.9,,,,,1.01,,1.01,,0.012,,0.006999999999999999,,0.2,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,0.086,,8.98,,,16.9,,1.04,,1.01,,0.013,,0.008,,0.2,,0.22,,,,,,,,,Room temperature,61.9,Room temperature,743.0,Room temperature,609.0,Room temperature,,,,,,,,,,,,,180,+,1.0,175.0,DC,34,750,8,,,,,,,,,,,,,1.0,88.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151,0.086,,8.98,,,,,1.04,,1.01,,0.013,,0.008,,0.2,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,0.086,,8.98,,,,,1.04,,1.01,,0.013,,0.008,,0.2,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,0.086,,8.98,,,,,1.04,,1.01,,0.013,,0.008,,0.2,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,0.08800000000000001,,9.08,,,16.8,,1.06,,1.0,,0.013,,0.006999999999999999,,0.24,,0.23,,,,,,,,,Room temperature,58.8,Room temperature,753.0,Room temperature,620.0,Room temperature,,,,,,,,,,,,,180,+,1.0,175.0,DC,34,750,8,,,,,,,,,,,,,1.0,88.28200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,0.08800000000000001,,9.08,,,,,1.06,,1.0,,0.013,,0.006999999999999999,,0.24,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.28200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,0.08800000000000001,,9.08,,,,,1.06,,1.0,,0.013,,0.006999999999999999,,0.24,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.28200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,0.08800000000000001,,9.08,,,,,1.06,,1.0,,0.013,,0.006999999999999999,,0.24,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,88.28200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,0.037000000000000005,,,,,31.9,,0.65,,,,0.012,,0.008,,0.3,,,,,,,,,,,Room temperature,80.6,Room temperature,466.0,Room temperature,392.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,98.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,0.037000000000000005,,,,,35.2,,0.65,,,,0.012,,0.008,,0.3,,,,,,,,,,,Room temperature,80.6,Room temperature,456.0,Room temperature,370.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,98.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,0.037000000000000005,,,,,,,0.65,,,,0.012,,0.008,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,98.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,0.037000000000000005,,,,,31.2,,1.03,,,,0.014,,0.006999999999999999,,0.31,,,,,,,,,,,Room temperature,80.6,Room temperature,498.0,Room temperature,413.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,98.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,0.037000000000000005,,,,,31.0,,1.03,,,,0.014,,0.006999999999999999,,0.31,,,,,,,,,,,Room temperature,80.6,Room temperature,490.0,Room temperature,402.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,98.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,0.037000000000000005,,,,,,,1.03,,,,0.014,,0.006999999999999999,,0.31,,,,,,,,,,,,,,,,,,40.0,Room temperature,0.0,Room temperature,27.0,Room temperature,33.0,Room temperature,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,1.0,98.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,0.044,,,,,29.4,,1.43,,,,0.014,,0.006999999999999999,,0.35,,,,,,,,,,,Room temperature,78.7,Room temperature,551.0,Room temperature,468.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,98.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,0.044,,,,,31.6,,1.43,,,,0.014,,0.006999999999999999,,0.35,,,,,,,,,,,Room temperature,78.8,Room temperature,529.0,Room temperature,436.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,98.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,0.044,,,,,,,1.43,,,,0.014,,0.006999999999999999,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,98.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,0.045,,,,,28.0,,1.85,,,,0.016,,0.006999999999999999,,0.33,,,,,,,,,,,Room temperature,76.8,Room temperature,588.0,Room temperature,514.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,97.75200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,0.045,,,,,27.4,,1.85,,,,0.016,,0.006999999999999999,,0.33,,,,,,,,,,,Room temperature,76.9,Room temperature,576.0,Room temperature,479.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,97.75200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,0.045,,,,,,,1.85,,,,0.016,,0.006999999999999999,,0.33,,,,,,,,,,,,,,,,,,71.0,Room temperature,0.0,Room temperature,16.0,Room temperature,13.0,Room temperature,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,1.0,97.75200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,0.038,,0.22,,,30.4,,0.65,,,,0.014,,0.006999999999999999,,0.3,,,,,,,,,,,Room temperature,78.8,Room temperature,496.0,Room temperature,422.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,98.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,0.038,,0.22,,,31.0,,0.65,,,,0.014,,0.006999999999999999,,0.3,,,,,,,,,,,Room temperature,79.7,Room temperature,496.0,Room temperature,410.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,98.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,0.041,,0.24,,,30.0,,1.01,,,,0.013,,0.008,,0.32,,,,,,,,,,,Room temperature,77.8,Room temperature,532.0,Room temperature,463.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,98.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,0.041,,0.24,,,29.8,,1.01,,,,0.013,,0.008,,0.32,,,,,,,,,,,Room temperature,78.8,Room temperature,519.0,Room temperature,426.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,98.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,0.041,,0.24,,,,,1.01,,,,0.013,,0.008,,0.32,,,,,,,,,,,,,,,,,,49.0,Room temperature,0.0,Room temperature,25.0,Room temperature,26.0,Room temperature,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,1.0,98.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,0.044,,0.24,,,28.0,,1.45,,,,0.013,,0.006999999999999999,,0.32,,,,,,,,,,,Room temperature,78.8,Room temperature,575.0,Room temperature,500.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,97.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,0.044,,0.24,,,28.0,,1.45,,,,0.013,,0.006999999999999999,,0.32,,,,,,,,,,,Room temperature,76.9,Room temperature,559.0,Room temperature,468.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,97.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,0.048,,0.26,,,26.0,,1.85,,,,0.013,,0.006999999999999999,,0.33,,,,,,,,,,,Room temperature,75.0,Room temperature,622.0,Room temperature,567.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,97.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,0.048,,0.26,,,27.0,,1.85,,,,0.013,,0.006999999999999999,,0.33,,,,,,,,,,,Room temperature,74.0,Room temperature,620.0,Room temperature,535.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,97.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,0.048,,0.26,,,,,1.85,,,,0.013,,0.006999999999999999,,0.33,,,,,,,,,,,,,,,,,,79.0,Room temperature,0.0,Room temperature,13.0,Room temperature,8.0,Room temperature,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,1.0,97.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,0.04,,0.51,,,32.2,,0.6,,,,0.01,,0.006,,0.33,,,,,,,,,,,Room temperature,78.8,Room temperature,510.0,Room temperature,446.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,98.50399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,0.04,,0.51,,,29.0,,0.6,,,,0.01,,0.006,,0.33,,,,,,,,,,,Room temperature,78.8,Room temperature,496.0,Room temperature,417.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,98.50399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,0.04,,0.51,,,,,0.6,,,,0.01,,0.006,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,98.50399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,0.043,,0.53,,,29.6,,0.95,,,,0.01,,0.006999999999999999,,0.31,,,,,,,,,,,Room temperature,77.0,Room temperature,545.0,Room temperature,494.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,98.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,0.043,,0.53,,,28.8,,0.95,,,,0.01,,0.006999999999999999,,0.31,,,,,,,,,,,Room temperature,77.0,Room temperature,536.0,Room temperature,460.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,98.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,0.043,,0.53,,,,,0.95,,,,0.01,,0.006999999999999999,,0.31,,,,,,,,,,,,,,,,,,58.0,Room temperature,0.0,Room temperature,26.0,Room temperature,16.0,Room temperature,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,1.0,98.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,0.047,,0.53,,,28.2,,1.42,,,,0.01,,0.006,,0.33,,,,,,,,,,,Room temperature,77.0,Room temperature,603.0,Room temperature,543.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,97.65700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,0.047,,0.53,,,25.8,,1.42,,,,0.01,,0.006,,0.33,,,,,,,,,,,Room temperature,76.0,Room temperature,600.0,Room temperature,514.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,97.65700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,0.047,,0.53,,,,,1.42,,,,0.01,,0.006,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,97.65700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,0.051,,0.52,,,23.0,,1.83,,,,0.013,,0.006,,0.33,,,,,,,,,,,Room temperature,70.2,Room temperature,674.0,Room temperature,617.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,97.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,0.051,,0.52,,,24.0,,1.83,,,,0.013,,0.006,,0.33,,,,,,,,,,,Room temperature,68.7,Room temperature,650.0,Room temperature,570.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,97.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,0.051,,0.52,,,,,1.83,,,,0.013,,0.006,,0.33,,,,,,,,,,,,,,,,,,88.0,Room temperature,0.0,Room temperature,8.0,Room temperature,4.0,Room temperature,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,1.0,97.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,0.041,,1.0,,,25.8,,0.59,,,,0.011,,0.009000000000000001,,0.3,,,,,,,,,,,Room temperature,77.8,Room temperature,531.0,Room temperature,472.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,98.04899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,0.041,,1.0,,,29.2,,0.59,,,,0.011,,0.009000000000000001,,0.3,,,,,,,,,,,Room temperature,77.9,Room temperature,514.0,Room temperature,427.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,98.04899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,0.041,,1.0,,,,,0.59,,,,0.011,,0.009000000000000001,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,98.04899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,0.045,,1.04,,,24.6,,0.97,,,,0.012,,0.006999999999999999,,0.32,,,,,,,,,,,Room temperature,76.0,Room temperature,592.0,Room temperature,531.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,97.60600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,0.045,,1.04,,,26.2,,0.97,,,,0.012,,0.006999999999999999,,0.32,,,,,,,,,,,Room temperature,77.0,Room temperature,568.0,Room temperature,471.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,97.60600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,0.045,,1.04,,,,,0.97,,,,0.012,,0.006999999999999999,,0.32,,,,,,,,,,,,,,,,,,63.0,Room temperature,0.0,Room temperature,28.0,Room temperature,9.0,Room temperature,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,1.0,97.60600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,0.048,,1.08,,,24.4,,1.37,,,,0.013,,0.008,,0.33,,,,,,,,,,,Room temperature,70.9,Room temperature,676.0,Room temperature,626.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,97.15100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,0.048,,1.08,,,26.0,,1.37,,,,0.013,,0.008,,0.33,,,,,,,,,,,Room temperature,72.0,Room temperature,630.0,Room temperature,548.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,97.15100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,0.048,,1.08,,,,,1.37,,,,0.013,,0.008,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,97.15100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,0.052000000000000005,,1.1,,,21.6,,1.81,,,,0.013,,0.006999999999999999,,0.33,,,,,,,,,,,Room temperature,70.9,Room temperature,723.0,Room temperature,692.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,96.68799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,0.052000000000000005,,1.1,,,22.8,,1.81,,,,0.013,,0.006999999999999999,,0.33,,,,,,,,,,,Room temperature,72.0,Room temperature,671.0,Room temperature,592.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,96.68799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,0.052000000000000005,,1.1,,,,,1.81,,,,0.013,,0.006999999999999999,,0.33,,,,,,,,,,,,,,,,,,87.0,Room temperature,0.0,Room temperature,12.0,Room temperature,1.0,Room temperature,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,1.0,96.68799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,0.041,,2.34,,,21.4,,0.59,,,,0.011,,0.009000000000000001,,0.27,,,,,,,,,,,Room temperature,72.0,Room temperature,652.0,Room temperature,587.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,96.73899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,0.041,,2.34,,,22.0,,0.59,,,,0.011,,0.009000000000000001,,0.27,,,,,,,,,,,Room temperature,75.0,Room temperature,619.0,Room temperature,534.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,1.0,96.73899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,0.041,,2.34,,,,,0.59,,,,0.011,,0.009000000000000001,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,96.73899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,0.046,,2.38,,,19.6,,0.93,,,,0.012,,0.008,,0.3,,,,,,,,,,,Room temperature,67.5,Room temperature,722.0,Room temperature,655.0,Room temperature,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,1.0,96.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
