,A5,AWS,Ag,Al,Applications,As,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Diffusible Hydrogen,Fe,HT_Temp,HT_Time,Hardness,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mn + Ni + Cr + Mo + V,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Ni+Mn,Other,Others,P,P S,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,S,S Ni,SN,Si,Si P,Sn,Suitable_For,Ti,V,W,Zn,Zr,conformances,ind,url
50,8.0,A 5.9:,0.0,0.0,Joining and cladding high heat resistant NiCr-steels of the same kind and Cast steels in a low sulphourus invironment.,,0.0,0.0,0.42,2.0,0.0,35.0,0.0,,1.4889000000000001,,16.19,0.0,,,0.0,AW,,,,14343-A: GZ 35 45 Nb,0.0,0.8,,0.0,0.0,35-45Nb,1.1,0.0,45.0,0.0,,,0.0,0.0,,,0.0,,660.0,460.0,0.0,,,1.4,,0.0,"(centrifugal- and mould cast parts), such as G X-45NiCrNbSiTi 45 35.",0.09,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/35-45nb
500,23.0,5.20: E71T-11,0.0,0.8,"Tanks, boilers, steel structural works (large thickness), earthworks and construction works.",,0.0,0.0,0.18,4.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,AW,,,,17632-A: T 42 Z W N 1 H15,0.0,1.0,,0.0,0.0,OA E-71 T-11,0.0,0.0,0.0,0.0,,,0.0,0.0,,"Opearc flux cored wire (selshielded) designed for welding thin carbon and carbomanganese steels in all positions. Easily removable slag, versatility and manuality; suitable for welding zincoated plates as well. Completely free of barium salts. . To be used on DC(DC operation, electrode negative polarity).",24.0,150.0,520.0,430.0,0.0,,,0.25,,0.0,"

ASTM
EN


A 131 Gr A, B, DA 131 Gr AH32 to DH36API 5LX-
10025 S185, S235, S275, S35510028-2 P235 G H, P265 G H, P295 G H, P355 G H10113-2 S275, S35510113-3 S275, S355


 ",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-e-71-t-11
501,,A 5.21:,0.0,0.0,Welding parts of manganesesteel that are exposed to impact and shock-like wear,,0.0,0.0,1.0,4.0,0.0,4.0,0.0,8555: MF-7-250-KNP,,,80.3,0.0,,215.0,1.0,AW,,,,14700: T Fe 9,0.0,13.75,,0.0,0.0,OA Mn14,0.0,0.0,0.55,0.0,,,0.0,0.0,,,24.0,150.0,,,0.0,,,0.4,,0.0,"Rebuilding, buffer layers before hardfacing on steels with high carbon content, heavy impact loads, manganese steels",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-mn14
502,,A 5.21:,0.0,0.0,"Rebuilding, buffer layers, rails, rails crossings, dredger teeth, blast furnace mantles etc..",,0.0,0.0,1.0,4.0,0.0,14.0,0.0,8555: MF 7-300-KNP,,,0.0,0.0,,27.5,4.0,AW/SH,,,,14700: T Fe9,0.0,0.2,,0.2,0.0,OA Mn18Cr,0.0,0.0,1.2,0.0,,,0.0,0.0,,Austenitic deposit with strain hardening properties and no limmits in the number of layers. The deposit is non magnetic and can not be flame cut or machined.,24.0,150.0,,,0.0,,,0.5,,0.0,"Rebuilding, buffer layers, rails, rails crossings, dredger teeth, blast furnace mantles etc.",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-mn18cr
503,,A 5.21:,0.0,0.0,"Rebuilding heavy steel parts, buffer layers, rails, rails crossings, dredger teeth, blast furnace mantles etc..",,0.0,0.0,0.45,4.0,0.0,14.75,0.0,8555: MF 7-250-KNP,,,66.65,0.0,,235.0,1.0,AW/SH,,,,14700: T Fe 9,0.0,15.7,,0.55,0.0,OA MnCr,0.0,0.0,1.25,0.0,,,0.0,0.0,,Austenitic deposit with strain hardening properties and no limmits in the number of layers. The deposit is non magnetic and can not be flame cut. ,24.0,150.0,,,0.0,,,0.4,,0.0,"Rebuilding, buffer layers, rails, rails crossings, dredger teeth, blast furnace mantles",0.0,0.25,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-mncr
504,25.0,A 5.20: E 70 T-4,0.0,1.3,"Welding outside in case high speed welding is required and protective gas is not possible or difficult. Suitable for C-Mn steels such as rails, fabrication of machinery, steel framed buildings and or heavy equipment repair. Recommended for butt assembly of rails and crossings.",,0.0,0.0,0.2,4.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,AW,,,,758: T 38 Z W N 3 ,0.0,0.55,,0.0,0.0,OA S-70-T4R,0.0,0.0,0.0,0.0,,,0.0,0.002,,Very good welding characteristics and not sensitive for contaminations.Good mechanical properties and high crack resistance.Deposition rate uto 20 kg/h.For single and multiplpass welding of Mn steels.Excellent self shielding properties.,24.0,150.0,610.0,450.0,0.002,,,0.2,,0.0,Rebuilding and joining steel parts that requires good strenght and high productivity.,0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-s-70-t4r
505,25.0,A 5.20: E 71 T-8JD H8,0.0,0.6000000000000001,"Welding outdoors without sheltering with high deposition rates with a high basic slag. Suitable for C-Mn steels such as structural steel erection, bridge construction, fabrication of machinery, steel framed buildings and or heavy equipment repair. ",,0.0,0.0,0.19,4.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,AW,75.0,,,17632-A: T 42 2 Y N 2 H10,0.0,0.55,,0.0,0.0,OA S-71-T8,0.0,0.0,0.0,0.0,,,0.0,0.009000000000000001,,"OA S 71 T8 is able to Weld out of position at extreme currents and offers a Low hydrogen weld deposit. Excellent slag removal and protective gas is not required. High impact strength at low temperatures combined with excellent mechanical properties within a wide range of heat inputs.

Usable under AWS D1.8 for use on Demand Critical welds.
",0.0,,570.0,469.0,0.006,,,0.2,,0.0,Rebuilding and joining steel parts that requires good strenght and high productivity.,0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-s-71-t8
506,22.0,5.20: E 71T-GS,0.0,1.4,"Welding outside in case high speed welding is required and protective gas is not easy to apply or possible.
",,0.0,0.0,0.15,4.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,AW,,,,17632-A: T 42 Z W N 1 H15,0.0,0.9,,0.0,0.0,OA S-71-TGS,0.0,0.0,0.0,0.0,,,0.0,0.0,,"Very good welding characteristics and not sensitive for old and rusty basmaterials, good mechanical properties and stable arc for welding in all positions.
 ",24.0,150.0,520.0,430.0,0.0,,,0.38,,0.0,"

ASTM
EN


A 131 Gr A, B, DA 131 Gr AH32 to DH36API 5LX-
10025 S185, S235, S275, S35510028-2 P235 G H, P265 G H, P295 G H, P355 G H10113-2 S275, S35510113-3 S275, S355


 ",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-s-71-tgs
507,,A 5.21:,0.0,0.0,Rebuilding wornout parts that faces wear and impact combined with increased working temperatures. (Excellent alloy for making cutting tools out of mild steel),,0.0,0.0,0.8,4.0,0.0,4.5,0.0,8555: MF 4-60-ST,,,0.0,0.0,,59.0,4.0,AW,,,,14700: T Fe4,0.0,0.4,,8.0,0.0,OA SS 60,0.0,0.0,0.0,0.0,,,0.0,0.0,,High wear resistance and similar structure as High speed tool steels. The deposit gives already a very good hardness in the first layer. A buffer layer with OA 4370 or OA MnCr is recommended in case of sensible basematerial or old Hardfaclayers.,24.0,150.0,,,0.0,,,0.6000000000000001,,0.0,"59-62 HRc hardfacing alloy for cutting edges, wood shredders, knives, recycling equipment, HSS, High speed tool steel alloy. Cutting edges on knives and share blades, pumps, mixer blades, wood shredders etc.. (Excellent alloy for making cutting tools out of mild steel)",0.0,1.5,2.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-ss-60
508,,A 5.21:,0.0,0.0,"This Ni-based alloy provides an excellent corrosion resistance combined with extreme abrasion resistance. OA WC2 (Ni) can be applied on all sorts of steels except on cast iron or Mn-steel. This alloy is the most wear resistant type in most hardfacing applications. In case of very fine dust abrasion It might happen that the matrix will be washed out and looses the imbedded Tungsten carbides, in this case another hardfacing product should be considdered.",,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8555: MF-21-65-CGTZ,,,0.0,0.0,,2400.0,1.0,AW,,,55.0,14700: T Ni 20,0.0,0.0,,0.0,0.0,OA WC2 Ni,0.0,0.0,0.0,0.0,,,0.0,0.0,,2400 HV nickel based corrosion resistant hardfacing alloy containing 60% tunsten carbides. OA WC2 (Ni)  has excellent flow and wetting characteristics. Multlayer deposits are possible and worn parts can be rebuild without removing the old material. Crushed cast carbide will guaranty a long life for several wear applications. Best to be used with shielding gas M13 (Argon with 1% Oxygen) approx. 15 litres per minute.,24.0,150.0,,,0.0,,,0.0,,0.0,"Rebuilding of stabilisers and other oilfield tools where maximum protection is required. Also for augers, impellers, mixer plates in the brick and clay industry and on decanter screws or hardfacing deep drilling equipment.",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-wc2-ni
509,,A 5.21:,0.0,0.0,This fused tungsten carbide based alloy provides an excellent resistance against extreme abrasion wear. OA WC2-Fe can be applied on most type of steels except on cast iron or Mn-steel. This alloy is the most wear resistant type in almost any hardfacing application. ,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8555: MF-21-65-GZ,,,100.0,0.0,,2400.0,1.0,AW,,,66.0,14700: T Fe 20-65-GZ,0.0,0.0,,0.0,0.0,OA WC2-Fe,0.0,0.0,0.0,0.0,,,0.0,0.0,,2400 HV Iron and Tungsten based hardfacing alloy containing 558% (depending on wire diameter) tungsten carbides. OA WCFe  has good welding characteristics. Multlayer deposits are not recommended due to the extreme high hardness. Fused tungsten carbide will guaranty a long life for several wear applications. Best to be used without gas protection (self shielded).,24.0,150.0,,,0.0,,,0.0,,0.0,"Rebuilding of stabilisers and other oilfield tools where maximum protection against abrasion is required. Also for augers, impellers, mixer plates in the brick and clay industry and on decanter screws or hardfacing deep drilling equipment.",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/oa-wc2-fe
51,8.0,A 5.9:,0.0,0.0,Joining and cladding high heat resistant NiCr-steels of the same kind and Cast steels in a low sulphourus invironment.,,0.0,0.0,0.42,2.0,0.0,35.0,0.0,,1.4889000000000001,,16.19,0.0,,,0.0,AW,,,,14343-A: W 35 45 Nb,0.0,0.8,,0.0,0.0,35-45Nb Tig,1.1,0.0,45.0,0.0,,,0.0,0.0,,"The weld deposit is applicable in a low sulphur, carbon enriching atmosphere up to 1175° C and has an excellent creep strength and a good resistance against carburization and oxidation.",0.0,,660.0,460.0,0.0,,,1.4,,0.0,"(centrifugal- and mould cast parts), such as G X-45NiCrNbSiTi 45 35.",0.09,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/35-45nb-tig
510,7.5,,3.1,0.0,"Soldering applications in cooling, automotive and electronic industry. Suitable for food applications due to the absence of Cadmium.  Suitable for working temperatures up to 100ºC.",,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,0.0,0.0,,222.5,1.0,,315.0,,,9453: S-Sn97Ag3,0.0,0.0,,0.0,0.0,S-Sn97AG3,0.0,0.0,0.0,0.0,,,0.0,0.0,,"Used for strong brazing joints of uneven junctions with excellent flowing properties. Offers much better mechanical characteristics compare to standard PbSn soft solders.  Excellent results are obtained on stainless steel with our ""ST"" flux.",0.0,,27.0,17.0,0.0,,,0.0,,96.9,"Steel, stainless steel, brass, copper, galvanised steels, Sn plated steels etc.",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s-sn97ag3
511,25.0,A 5.17: EL 12,0.0,0.03,,,0.0,0.0,0.08,9.0,0.0,0.15,0.30000000000000004,8575: S1,,,0.0,0.0,,,0.0,,,,,14171-A: S1,0.0,0.47500000000000003,,0.15,0.0,S1,0.0,0.0,0.15,0.0,,,0.0,0.025,,,0.0,,,,0.025,,,0.1,,0.0,"Unalloyed steels: St 33 – St 52 Ship building: A, E, AH, EH Boiler steels: HI-HIII, 17Mn4, Pipe steels: St 37.0/4 – St 52.0/4 Fine-grain steels: StE 255 – StE 420",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s1
512,,A 5.23: EB6,0.0,0.0,,,0.0,0.0,0.08,9.0,0.0,6.0,0.0,8575:,1.7374,,0.0,0.0,,,0.0,AW,,,,24598-A-S S CrMo5,0.0,0.5,,0.0,0.0,S1 CrMo5,0.0,0.0,0.0,0.0,,,0.0,0.0,,Submerged arc welding (5% cromium wire) for high temperature creep resistant steels,0.0,,,,0.0,,,0.30000000000000004,,0.0,"X12CrMo5, GX12CrMo5ASTM: A182/A336 grade F5, A199/A213 grade T5, A217 grade C5, A234 grade WP5, A335 grade P5, A387 grade 5",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s1-crmo5
513,22.0,A 5.17: EM 12K,0.0,0.03,"Shipbuilding, piping, root welding, bridges, repair, construction, offshore, etc...",,0.0,0.0,0.11,9.0,0.0,0.15,0.30000000000000004,8575: S2,1.0493999999999999,,0.0,0.0,,,0.0,AW,,47.0,,14171-A: S2,0.0,1.1,,0.15,0.0,S2,0.0,0.0,0.15,0.0,,,0.0,0.025,,"Solid drawn and rolled SAW wire with copper coating for improved current carrying capacity. S2 wire can be used with FL 180, FL188, FL 155 and FL 851 depending on the requirements and application.",0.0,,520.0,420.0,0.025,,,0.125,,0.0,"A, B, D, E, St 37 - St 52-3, DIN 17 100, H I, H II, 17Mn4, 16Mo5, DIN 17 155, StE 255 - StE 355, DIN 17 102, GS-38, GS-60, DIN 1681, St 35.8, St 45.8, DIN 17 175, St 37.0 - St 52.0, DIN 1626 / 1629, St 37.4 - St 52.4, DIN 1628 / 1630, StE 290.7 TM - StE 360.7 TM, DIN 17 172, X 52",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s2
514,24.0,5.23: EG,0.0,0.0,"Heavy construction, lifting, platforms, jackups, towers, crane building, machinery, riser pipes etc.",,0.0,0.0,0.12,9.0,0.0,1.0,0.0,,,,0.0,0.0,,,0.0,AW/PWHT,,40.0,,14171-A: S2 1NiCrMo,0.0,1.0,,0.5700000000000001,0.0,S2 1NiCrMo,0.0,0.0,0.9500000000000001,0.0,,,0.0,0.0,,"High strength weld deposit with good post weld heat treatment properties. S2 1NiCrMo can be used in combination with FL 851 and FL 155, both fluxes offer low hydrogen content and excellent weldabillity in multi layer welding and narrow gab.",0.0,,855.0,760.0,0.0,,,0.27,,0.0,"X80, AISI 4130, 8630, ASME: ASTM A302 Grade B, ASTM A336 Grade F30, ASTM A487 Class 1N, 1Q 2N, 2Q, 4130 EN: S(P)460-S(P)555",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s2-1nicrmo
515,20.0,A 5.23: EB2 R,0.0,0.0,"Typical applications in power generation plant include steam piping, turbines and boilers; the alloy also finds applications in the chemical and petro-chemical industries.",,0.0,0.0,0.1,9.0,0.0,1.2,0.2,8575: S2 CrMo1,1.7346,,0.0,0.0,,,0.0,AW,60.0,,,24598-A: S CrMo1,0.0,0.9500000000000001,,0.55,0.0,S2 CrMo1,0.0,0.0,0.0,0.0,,,0.0,0.0,,"Submerged arc welding wire for high temperature creep resistant 1.25%Cr 0.5%Mo ferritic steel. These steels are used for creep resisting applications up to ~550°C.  The wire has low levels of tramp elements (eg. Sn, As, Sb and P) providing a low Bruscato Factor (X< 10 ppm) for temper embrittlement resistant applications.",0.0,,550.0,460.0,0.0,,,0.25,,0.0,"heat and creep resistant steel, , GS 22CrMo54, G17CrMo5-5, G22CrMo5-4, 13CrMo 4-5, 16CrMo 4-4, G-17CrMo 5-5, 24CrMo5, 25CrMo4, 21 CrMo 3, 25 CrMo 4, 17CrMo55ASTM: A182 grades F11/F12, A199/A200 grade T11, A217 grades WC6/WC11, A234 grades WP11/WP12, A335 grades P11/P12, A387 grades 11/12",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s2-crmo1
516,20.0,A 5.23: EG,0.0,0.0,"Typical applications in power generation plant include steam piping, turbines and boilers; the alloy also finds applications in the chemical and petro-chemical industries.",,0.0,0.0,0.1,9.0,0.0,2.45,0.0,8575: S2 CrMo2,,,0.0,0.0,,,0.0,AW,47.0,,,24598-A: SZCrMo2Mn,0.0,0.9500000000000001,,1.0,0.0,S2 CrMo2,0.0,0.0,0.0,0.0,,,0.0,0.0,,"Submerged arc welding wire for high temperature creep resistant 2,45%Cr 1,0%Mo ferritic steel. These steels are used for creep resisting applications up to ~550°C.  The wire has low levels of tramp elements (eg. Sn, As, Sb and P) providing a low Bruscato Factor (X< 10 ppm) for temper embrittlement resistant applications.
Recomended flux: FL 155",0.0,,550.0,470.0,0.0,,,0.25,,0.0,"ASTM: A182 grade F22, A199/A200 grades T21/T22, A213 grade T22, A217 grade WC9, A234 grade WP22, A335 grade P22, A387 grades 21/22 10CrMo 9-10, 10CrSiMoV 7, G-17CrMo 9-10",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s2-crmo2
517,20.0,A 5.23: EA 2,0.0,0.0,"Heat, creep-resistant and fine grain steel for working temperatures up to 500°C. Often used for pipe welding (X70). ",,0.0,0.0,0.11,9.0,0.0,0.0,0.0,8575: S2Mo,1.5425,,0.0,0.0,,,0.0,AW,60.0,47.0,,14171-A: S2Mo,0.0,1.15,,0.55,0.0,S2 Mo,0.0,0.0,0.0,0.0,,,0.0175,0.025,,,0.0,,605.0,460.0,0.025,,,0.2,,0.0," 



MaterialsBoiler steels-Pipe steels-Fine grain steels

DINHI, HII, 17Mn4, 19Mn5,15Mo3, 16Mo3St35.8, St45.8, StE 210.7TMStE 445.7 TMStE 255 - StE 460
ENP235GH, P355GH,16Mo3P235T1/T2, P460NL2L210, L445MBS255 - S460QL1
ASTMTypicalA 285Gr CA 515Gr 70A 516Gr 70-


-17Mo3, 22Mo4, 16Mo5, 14Mo6, 15NiCuMoNb5, 17MnMoV6 4 , A335 Grade P1, Boiler steels: P235GH, P310GH, ASTM A516 grade 60, Pipe steels: L320Nb, L415Nb, L360Nb, L485Nb, X52-X70 Fine-grain steels:, S460N, P255NH, P460NH, P460NL1, Cast steels: GE 240, GE 300",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s2-mo
518,26.0,A 5.23: E Ni 1,0.0,0.0,"Offshore, Shipbuilding, pressure vessels, crane , pipe work",,0.0,0.0,0.08,9.0,0.0,0.0,0.0,,1.6225,,0.0,0.0,,,0.0,AW/SR,130.0,60.0,,14171-A: S2Ni1,0.0,1.0,,0.0,0.0,S2 Ni1,0.0,0.0,0.9,0.0,,,0.0,0.0,,"Submerged arc welding wire for welding fine grain steels for low temperature requirements down t60°C in apparatus, construction and offshore applications.",0.0,,530.0,420.0,0.0,,,0.2,,0.0," 


MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, E, AH 32 - EH 36St 33, St 37-2 - St 52-3H I, H III, 17Mn4, 19Mn5St 35.8, St 45.8StE 210.7 TM, StE 480.7 TMStE 255 to StE 460X 42, X65, X 70

ENsameS185 - S355-S460P235GH, P355GHP235T1/T2, P460NL2L210 - L480MBS255 - S500 (NL1,2)X 42, X65, X 70


ASTMTypicalA 258 / A 516A 662 / A 387A 738 / A 612A 299--



 ",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s2-ni1
519,,A 5.23: E Ni 2,0.0,0.0,,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,,1.6227,,0.0,0.0,,,0.0,,,,,14171-A: S2Ni2,0.0,0.0,,0.0,0.0,S2 Ni2,0.0,0.0,0.0,0.0,,,0.0,0.0,,Submerged arc welding wire for fine grain steels where high impact values are required at low temperatures.,1.0,,,,0.0,,,0.0,,0.0,"P460N, S500N, P460NL, S500NL, 14Ni6, 12Ni14, 16Ni14
",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s2-ni2
52,15.0,A 5.4: E 410-25,0.0,0.0,"This alloy can be used for welding martensitic-ferritic steels , steel castings and for hardfacing exhaust valves.",,0.0,0.0,0.1,3.0,0.0,13.0,0.0,1913: E 4009,1.4009,,86.2,840.0,2.0,180.0,1.0,,,,,3581-A: E 13 B 42,0.0,0.7000000000000001,,0.0,0.0,4009 Ti,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.0,320.0,650.0,450.0,0.0,,,0.0,,0.0,"X6Cr13 -1.4000, X6CrAl13 - 1.4002, X10Cr13 - 1.4006, X15Cr13 - 1.4024, Steel castings: G-X10Cr13 – 1.4006, martensitic steel, cast steel, cladding exhaust valves",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/4009-ti
520,24.0,A 5.23: EA 4,0.0,0.0,"Heat, creep-resistant and fine grain steel for working temperatures up to 500°C. Often used for pipe welding (X70). ",,0.0,0.0,0.12,9.0,0.0,0.0,0.0,8575: S3Mo,1.5426,,0.0,0.0,,,0.0,AW,80.0,47.0,,14171-A: S3Mo,0.0,1.52,,0.52,0.0,S3 Mo,0.0,0.0,0.0,0.0,,,0.0,0.0,,"Increased yield and impact strength due to high manganese content, excellent welding properties in combination with FL 188F and FL 915",0.0,,550.0,470.0,0.0,,,0.15,,0.0,"S550GD, S355JO, E335, P285NH, P310GH, S355JOCu, 16Mo3, P355N - P460N, P355NH - P460NH",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s3-mo
521,22.0,5.23: EF3,0.0,0.0,"Heavy construction, lifting, platforms, jackups, towers, crane building, machinery etc.",,0.0,0.0,0.12,9.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,AW/SR,,50.0,,14171-A: S3Ni1Mo,0.0,1.75,,0.55,0.0,S3 NiMo-1,0.0,0.0,0.9,0.0,,,0.0,0.0,,"High strength weld deposit with good impact properties down t40°C. S3 NiMo1 can be used in combination with FL 851 and FL 155, both fluxes offer low hydrogen content and excellent weldabillity in multi layer welding and narrow gab.",0.0,,700.0,620.0,0.0,,,0.2,,0.0,"S550QL1, fine grain steels, X70, X80, AISI 4130, 4140, 8630, 25CrMo4, 42CrMo4, 1.7218, 1.7228",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s3-nimo-1
522,17.0,A 5.23: ~EG EF6,0.0,0.0,"Applications will be found in the offshore industry, shipbuilding, pressure vessels, earthmoving equipment, cranes and general structural fabrication.",,0.0,0.0,0.13,9.0,0.0,0.27,0.0,,,,0.0,0.0,,,0.0,AW,,69.0,69.0,"26304-A: SZ3Ni2,5CrMo",0.0,1.6,,0.6000000000000001,0.0,S3 NiMoCr,0.0,0.0,2.1,0.0,,,0.0,0.0,,"Welding procedure (including preheat temperature, interpass temperature and PWHT) will be dependent on the base material being welded, including its thickness, and any applicable design codes. Remarkable crack resistant weld metal in combination with very low hydrogen content. Therefore, suitable for the economic processing of higstrength and low temperature fine grained structural steels. Excellent welding properties in combination with FL 155 high basic flux even in narrow gabs. To obtain optimum mechanical properties the heat input should be kept below 15 kJ/cm and interpass temperature between 100 and 150ºC.",0.0,,770.0,6.0,0.0,,,0.1,,0.0,"S690, X80, X90, X100, S690QL1, Weldox 700, Dilimax, Naxtra 70, 10CrMo9-10, 16NiCrMo12-6, high strenght steels with yield >690N/mm2, S500Q-S690Q, S500QL-S690QL, P500Q-P690Q, P500QL1-ASTM: A514, A517. HY80, HY100, Q1(N), Oceanfit 100, Oceanfit 690",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s3-nimocr
523,20.0,5.17: EH 12 K,0.0,0.03,"Pipe work; offshore, pressure vessels, bridge, crane building, apparatus, and steam turbine construction. 
",,0.0,0.0,0.09,9.0,0.0,0.15,0.30000000000000004,,1.0496,,0.0,610.0,1.0,,0.0,AW/PWHT,,100.0,80.0,14171-A: S3Si,0.0,1.675,,0.15,0.0,S3 Si,0.0,0.0,0.15,0.0,,,0.0,0.025,,Excellent mechanical strength and welding properties due to a increased manganese and silicon content. S3Si is best to be used with FL 155 high basic agglomerated flux to obtain neutral action on metallurgical chemistry and excellent subzero impact properties down t60°C.,0.0,,530.0,460.0,0.025,,,0.275,,0.0,"

MaterialsshipbuildingUnalloyed steelsboiler steelspipe steels-Fine grain steelsAPI-standard
DINA, B, D, E, AH 32 - EH 36St 33, St 37-2 - St 52-3H I, H III, 17Mn4, 19Mn5St 35.8, St 45.8StE 210.7 TM, StE 445.7 TMStE 255 to StE 460X 42, X65, X 70

ENsameS185 - S355P235GH, P355GHP235T1/T2, P460NL2L210 - L445MBS235 - S460QL1X 42, X65, X 70


ASTMTypicalA 258 / A 516A 662 / A 387A 738 / A 612A 299--



 ",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s3-si
524,,A 5.17: EH 14,0.0,0.0,,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8557: S4,1.5086,,0.0,0.0,,,0.0,,,,,14171-A: S4,0.0,0.0,,0.0,0.0,S4,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.0,,,,0.0,,,0.0,,0.0,"S275JR - S355JO, E335, P285NH, P310GH, S355JOCu, Ship construction grades A - E, Fine grain steels up-to P460N
",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s4
525,18.0,A 5.23: EA3K,0.0,0.0,Fine grain steels for yield strength aplications exceeding 500 MPa. Often used for pipe welding (X70-X80) when Mn. and Si. content is low.. ,,0.0,0.0,0.1,9.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,60.0,47.0,,14341-A: G4Mo,0.0,1.85,,0.0,0.0,S4 MoSi,0.0,0.0,0.35000000000000003,0.0,,,0.0,0.025,,"High Manganese and Silicon content for improved doxidation and strength, excellent wetting for increased welding speed with corresponding flux.  Suitable fluxes are depending on the weld metal requirements, in most cases Ceweld FL 155 gives excellent results.",0.0,,650.0,570.0,0.025,,,0.65,,0.0,"Pipe steels acc. to ISO 3183, EN 10208 and API-5: L360N/X52 to L555Q/X80",0.0,0.0,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/s4-mosi
526,22.0,,0.0,0.0,"Crane, apparatus, pressure vessels, foundries, casting etc.",,0.0,0.0,0.05,9.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,47.0,27.0,,14171:,0.0,1.4,,0.4,0.0,SA 1.41 B,0.0,0.0,1.4,0.0,,,0.0,0.025,,Extreme crack resistant weld metal due to the high basic slag in combination with a remarkable low hydrogen content.  The requirements of the steels mentioned are obtained in normalized (N) and in air quenched (A) condition . SA 1.41 B is not recommended in the stress relieved condition.,0.0,,505.0,355.0,0.02,,,0.1,,0.0,"

Base metal
DIN
EN
ASTM


Fine grain steelN+A-
WStE 315 till 420StE 315 till StE 420EStE 315 till EStE 420
S315*NL1/2) - S420(NL1/2)--
A 516 / A 255A 333 / A 350A 612 / A 707

",0.0,0.13,0.0,0.0,0.0,,,http://www.ceweld.nl/en/product/sa-141-b
